Protein.Group	Protein.Names	Genes	First.Protein.Description	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R01.mzML	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R02.mzML	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R03.mzML	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R01.mzML	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R02.mzML	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R03.mzML
Q04081	LCMT1_YEAST	PPM1	Leucine carboxyl methyltransferase 1	749037					
Q04119	PPN1_YEAST	PPN1	Endopolyphosphatase	1.62381e+06	1.9418e+06	1.87985e+06		1.04816e+06	802474
Q04120	TSA2_YEAST	TSA2	Peroxiredoxin TSA2	1.57933e+07	1.46786e+07	1.4972e+07	7.51849e+06	8.04195e+06	8.37496e+06
Q04170	YD391_YEAST	YDR391C	Uncharacterized protein YDR391C	1.68489e+06	2.03719e+06				
Q04175	SXM1_YEAST	SXM1	Importin beta SMX1	1.88788e+06	2.19057e+06	2.16283e+06	1.02318e+06	1.13476e+06	1.04023e+06
Q04178	HPRT_YEAST	HPT1	Hypoxanthine-guanine phosphoribosyltransferase	1.86164e+06	2.01906e+06	1.74361e+06	972659	1.01898e+06	1.09325e+06
Q04201	CUE4_YEAST	CUE4	CUE domain-containing protein CUE4	855715	679985	731696			
Q04206	TF65_HUMAN	RELA	Transcription factor p65	3.22637e+06	3.40632e+06	3.55253e+06	3.93009e+06	3.57441e+06	3.59524e+06
Q04212	ARA2_YEAST	ARA2	D-arabinose 1-dehydrogenase	2.24059e+06	2.20048e+06	2.04989e+06	1.06664e+06		1.02615e+06
Q04225	RRB1_YEAST	RRB1	Ribosome assembly protein RRB1	1.76984e+06	1.754e+06	1.66035e+06		1.00348e+06	900833
Q04279	SEG1_YEAST	SEG1	Eisosome protein SEG1	2.77611e+06	2.71728e+06	2.01011e+06	1.29879e+06	1.21029e+06	1.1863e+06
Q04299	YMX7_YEAST	YMR087W	Probable ADP-ribose 1''-phosphate phosphatase YML087W	280316	322365	259739	107862	131030	
Q04304	YMY0_YEAST	YMR090W	UPF0659 protein YMR090W	1.58624e+07	1.67809e+07	1.69516e+07	8.46028e+06	8.20065e+06	8.6211e+06
Q04305	UTP15_YEAST	UTP15	U3 small nucleolar RNA-associated protein 15	959310	518544				
Q04311	VMS1_YEAST	VMS1	Protein VMS1	185668	169825	132049	48612.7		
Q04322	GYL1_YEAST	GYL1	Probable GTPase-activating protein GYL1	563938	770957	459576			
Q04323	UBXN1_HUMAN	UBXN1	UBX domain-containing protein 1	1.3149e+07	1.31538e+07	1.24964e+07	1.30979e+07	1.28329e+07	1.32549e+07
Q04336	YM54_YEAST	YMR196W	Uncharacterized protein YMR196W	8.59542e+06	8.13172e+06	7.49546e+06	4.2954e+06	3.90294e+06	3.74718e+06
Q04338	VTI1_YEAST	VTI1	t-SNARE VTI1	2.15794e+06	2.68456e+06	2.47291e+06	1.19404e+06	1.35801e+06	1.37406e+06
Q04341	MIX14_YEAST	MIX14	Mitochondrial intermembrane space cysteine motif-containing protein MIX14	2.62443e+06	2.36644e+06	2.47151e+06	1.46116e+06	1.26945e+06	1.77835e+06
Q04344	HNT1_YEAST	HNT1	Hit family protein 1	4.29762e+06	4.23932e+06	4.14671e+06	1.95271e+06	1.93319e+06	1.94743e+06
Q04371	ARMT1_YEAST	YMR027W	Damage-control phosphatase YMR027W	6.28522e+06	6.30981e+06	5.38885e+06	2.87657e+06	3.05276e+06	2.35012e+06
Q04409	EMI2_YEAST	EMI2	Putative glucokinase-2	1.1448e+07	1.122e+07	1.14035e+07	5.66938e+06	5.59769e+06	5.27906e+06
Q04410	GRH1_YEAST	GRH1	GRASP65 homolog protein 1	786631		954248			
Q04430	PANK_YEAST	CAB1	Pantothenate kinase CAB1	901360	912544				
Q04432	HSP31_YEAST	HSP31	Glutathione-independent glyoxalase HSP31	1.85329e+08	1.86461e+08	1.88609e+08	9.14133e+07	9.34832e+07	9.58062e+07
Q04438	SPG4_YEAST	SPG4	Stationary phase protein 4	9.7349e+06	9.14044e+06	9.26773e+06	4.69231e+06	4.60603e+06	4.34357e+06
Q04439	MYO5_YEAST	MYO5	Myosin-5	2.22796e+06	2.12605e+06	2.34126e+06	856522	1.0027e+06	924613
Q04446	GLGB_HUMAN	GBE1	1,4-alpha-glucan-branching enzyme	2.3856e+07	2.77789e+07	2.9698e+07	2.67015e+07	2.69232e+07	2.68031e+07
Q04457	EST1_CAEEL	ges-1	Gut esterase 1	1.62377e+06	1.78714e+06	1.26646e+06	2.12245e+06	2.26648e+06	1.9739e+06
Q04458	HFD1_YEAST	HFD1	Fatty aldehyde dehydrogenase HFD1	7.40512e+06	8.46411e+06	8.01332e+06	4.14121e+06	4.246e+06	3.98039e+06
Q04491	SEC13_YEAST	SEC13	Protein transport protein SEC13	1.21515e+07	1.2049e+07	1.2372e+07	6.4846e+06	6.3062e+06	5.64576e+06
Q04493	PFD5_YEAST	GIM5	Prefoldin subunit 5	4.23543e+06	4.56254e+06	4.47554e+06	2.16299e+06	1.93318e+06	2.15912e+06
Q04599	RM01_YEAST	MRPL1	54S ribosomal protein L1, mitochondrial	1.69982e+06	1.75947e+06	1.55036e+06	735604	917691	700394
Q04636	POB3_YEAST	POB3	FACT complex subunit POB3	6.29577e+06	6.65385e+06	7.04522e+06	3.26332e+06	3.32174e+06	3.21316e+06
Q04637	IF4G1_HUMAN	EIF4G1	Eukaryotic translation initiation factor 4 gamma 1	3.66821e+07	3.67894e+07	3.74291e+07	3.58255e+07	3.54333e+07	3.56636e+07
Q04656	ATP7A_HUMAN	ATP7A	Copper-transporting ATPase 1	3.17324e+06	3.1265e+06	3.54884e+06	3.036e+06	2.51114e+06	2.73706e+06
Q04660	ERB1_YEAST	ERB1	Ribosome biogenesis protein ERB1	560082	569330	618934		212896	150430
Q04695	K1C17_HUMAN	KRT17	Keratin, type I cytoskeletal 17	1.3741e+08	1.3329e+08	1.35919e+08	1.27218e+08	1.33467e+08	1.30988e+08
Q04697	GSF2_YEAST	GSF2	Glucose-signaling factor 2	5.53312e+06	5.29458e+06	5.83213e+06	3.14799e+06	2.85131e+06	2.93388e+06
Q04721	NOTC2_HUMAN	NOTCH2	Neurogenic locus notch homolog protein 2	961546	1.10522e+06	1.03702e+06	931684	1.06425e+06	1.00465e+06
Q04726	TLE3_HUMAN	TLE3	Transducin-like enhancer protein 3	1.00196e+07	9.45677e+06	8.60334e+06	9.76156e+06	9.67116e+06	9.36678e+06
Q04728	ARGJ_YEAST	ARG7	Arginine biosynthesis bifunctional protein ArgJ, mitochondrial	3.25153e+06	3.31766e+06	3.43983e+06	1.48358e+06	1.45582e+06	1.72789e+06
Q04739	GAL83_YEAST	GAL83	SNF1 protein kinase subunit beta-3	3.50226e+06	3.7967e+06	3.92754e+06	2.26273e+06	1.4289e+06	1.86297e+06
Q04760	LGUL_HUMAN	GLO1	Lactoylglutathione lyase	1.08929e+08	1.09062e+08	1.11258e+08	9.86617e+07	1.02305e+08	1.01068e+08
Q04767	TVP18_YEAST	TVP18	Golgi apparatus membrane protein TVP18	3.29962e+06	3.46144e+06	2.60954e+06	1.23196e+06	1.41653e+06	1.93864e+06
Q04773	YMW4_YEAST	YMR074C	Uncharacterized protein YMR074C	2.56706e+06	2.04355e+06	3.30453e+06			
Q04781	LTN1_YEAST	RKR1	E3 ubiquitin-protein ligase listerin	502201	455215	342741			
Q04792	DCE_YEAST	GAD1	Glutamate decarboxylase	2.49271e+07	2.65447e+07	2.61339e+07	1.30833e+07	1.22667e+07	1.23557e+07
Q04833	LRP_CAEEL	lrp-1	Low-density lipoprotein receptor-related protein	743612	780452	648513	774328	2.45731e+06	815381
Q04837	SSBP_HUMAN	SSBP1	Single-stranded DNA-binding protein, mitochondrial	4.04596e+07	4.31682e+07	4.48991e+07	3.8434e+07	4.00641e+07	4.18182e+07
Q04847	ROY1_YEAST	ROY1	Non-SCF-type F-box protein ROY1	383916	493468	401582	215652	219397	262953
Q04864	REL_HUMAN	REL	Proto-oncogene c-Rel	763395	710914	609737	596106	676378	598512
Q04869	YM94_YEAST	YMR315W	Uncharacterized protein YMR315W	3.45441e+07	3.08981e+07	3.03779e+07	1.66224e+07	1.757e+07	1.75231e+07
Q04894	ADH6_YEAST	ADH6	NADP-dependent alcohol dehydrogenase 6	9.1299e+06	8.31877e+06	8.12056e+06	4.78964e+06	5.36999e+06	5.36406e+06
Q04902;Q08992	HSP32_YEAST;SNO4_YEAST	HSP32;SNO4	Probable glutathione-independent glyoxalase SNO4	3.01797e+06	3.37619e+06	4.22418e+06	1.6269e+06	1.50099e+06	1.70118e+06
Q04907	RM32_CAEEL	mrpl-32	Probable 39S ribosomal protein L32, mitochondrial	2.40582e+06	2.25875e+06	2.31097e+06	3.76198e+06	2.97914e+06	2.82764e+06
Q04908	PSMD3_CAEEL	rpn-3	26S proteasome non-ATPase regulatory subunit 3	1.13676e+07	1.1164e+07	1.10909e+07	1.33226e+07	1.38446e+07	1.44715e+07
Q04917	1433F_HUMAN	YWHAH	14-3-3 protein eta	2.70885e+07	2.64808e+07	2.69225e+07	2.54624e+07	2.10629e+07	2.38385e+07
Q04924	GLU2B_YEAST	GTB1	Glucosidase 2 subunit beta		1.38756e+06	2.33266e+06			
Q04934	IVY1_YEAST	IVY1	Protein IVY1	1.19899e+06	742426	476175			
Q04935	COX20_YEAST	COX20	Cytochrome c oxidase assembly protein COX20, mitochondrial	3.88155e+06	4.16779e+06	4.42671e+06	1.65257e+06	2.26738e+06	1.76956e+06
Q04941	PLP2_HUMAN	PLP2	Proteolipid protein 2	3.81477e+07	3.60709e+07	3.81882e+07	3.76536e+07	3.65705e+07	3.88477e+07
Q04947	RTN1_YEAST	RTN1	Reticulon-like protein 1	3.81852e+07	3.74367e+07	3.57417e+07	1.86201e+07	1.83596e+07	1.85458e+07
Q04951	SCW10_YEAST	SCW10	Probable family 17 glucosidase SCW10	2.82666e+06	3.22054e+06	3.29581e+06	1.64186e+06	1.57021e+06	1.43607e+06
Q04964	SML1_YEAST	SML1	Ribonucleotide reductase inhibitor protein SML1		1.24393e+06	1.40584e+06			
Q04969	SPC2_YEAST	SPC2	Signal peptidase complex subunit SPC2	1.70739e+06	1.88571e+06	1.79229e+06	816464	853153	543787
Q05015	FSH2_YEAST	FSH2	Family of serine hydrolases 2	3.04017e+06	2.63409e+06	3.04941e+06	1.54238e+06	1.82649e+06	1.50343e+06
Q05016	YM71_YEAST	YMR226C	NADP-dependent 3-hydroxy acid dehydrogenase	3.39785e+07	3.50411e+07	3.51704e+07	1.76859e+07	1.76726e+07	1.77069e+07
Q05022	RRP5_YEAST	RRP5	rRNA biogenesis protein RRP5	848044	791614	744466	352180	376747	279478
Q05027	TAF9_YEAST	TAF9	Transcription initiation factor TFIID subunit 9	1.58953e+06	1.30324e+06	1.41994e+06	888522	573268	672611
Q05029	BCH1_YEAST	BCH1	Protein BCH1	558098	526552	409803	283942	222821	
Q05036	HS110_CAEEL	hsp-110	Heat shock protein 110	2.59901e+07	2.50194e+07	2.50356e+07	3.01657e+07	3.15318e+07	3.10022e+07
Q05040	FAR8_YEAST	FAR8	Factor arrest protein 8	2.11664e+06	1.99729e+06	2.34079e+06	1.21167e+06	735485	
Q05048	CSTF1_HUMAN	CSTF1	Cleavage stimulation factor subunit 1	8.39948e+06	8.6448e+06	7.91216e+06	8.02299e+06	7.63979e+06	7.87744e+06
Q05050	EIS1_YEAST	EIS1	Eisosome protein 1	9.96211e+06	1.01635e+07	1.05999e+07	4.94016e+06	5.3934e+06	5.29549e+06
Q05062	CDC42_CAEEL	cdc-42	Cell division control protein 42 homolog	2.05934e+06	1.87574e+06	1.96199e+06	2.21284e+06	2.39965e+06	2.42404e+06
Q05086	UBE3A_HUMAN	UBE3A	Ubiquitin-protein ligase E3A	615022	666897	618436	613368	393464	659303
Q05209	PTN12_HUMAN	PTPN12	Tyrosine-protein phosphatase non-receptor type 12	1.51746e+06	1.77173e+06	1.70646e+06	1.58178e+06	1.73069e+06	1.79669e+06
Q05359	ERP1_YEAST	ERP1	Protein ERP1	1.06582e+07	9.12838e+06	9.44364e+06	4.81305e+06	4.45036e+06	4.1597e+06
Q05397	FAK1_HUMAN	PTK2	Focal adhesion kinase 1	3.31254e+06	3.71888e+06	3.37498e+06	3.41597e+06	3.46293e+06	3.41591e+06
Q05506	SYRC_YEAST	YDR341C	Arginine--tRNA ligase, cytoplasmic	1.4854e+07	1.54583e+07	1.43525e+07	6.72098e+06	7.25825e+06	6.5258e+06
Q05515	SVF1_YEAST	SVF1	Survival factor 1	6.62038e+06	6.39215e+06	6.10373e+06	3.41096e+06	3.53849e+06	3.65625e+06
Q05518	PAL1_YEAST	PAL1	Protein PAL1	750199	664009	613809		278987	280995
Q05519	SRS11_HUMAN	SRSF11	Serine/arginine-rich splicing factor 11	2.42995e+07	2.39721e+07	1.88101e+07	2.41377e+07	2.25116e+07	2.33655e+07
Q05543	RT103_YEAST	RTT103	Regulator of Ty1 transposition protein 103	1.16173e+06	1.47883e+06	1.46344e+06	662311	693786	645833
Q05567	SGPL_YEAST	DPL1	Sphingosine-1-phosphate lyase	2.33212e+06	2.297e+06	4.02055e+06	2.67046e+06	2.91297e+06	2.42183e+06
Q05583	CIAO1_YEAST	CIA1	Cytosolic iron-sulfur protein assembly protein 1	1.16977e+06	936164	792178	453190	523851	591212
Q05584	GLO2_YEAST	GLO2	Hydroxyacylglutathione hydrolase, cytoplasmic isozyme	3.50226e+06	3.00824e+06	3.11902e+06	1.49012e+06	1.34712e+06	1.5118e+06
Q05636	RRP45_YEAST	RRP45	Exosome complex component RRP45	623085	466874	656234	170557		
Q05639	EF1A2_HUMAN	EEF1A2	Elongation factor 1-alpha 2	1.69565e+08	1.83961e+08	1.55736e+08	1.74587e+08	1.8764e+08	1.85112e+08
Q05655	KPCD_HUMAN	PRKCD	Protein kinase C delta type	2.4596e+06	2.21199e+06	1.83136e+06	2.21296e+06	2.05741e+06	2.3885e+06
Q05682	CALD1_HUMAN	CALD1	Caldesmon	8.93704e+06	8.61601e+06	9.08279e+06	9.0435e+06	8.8452e+06	8.76596e+06
Q05775	EIF3J_YEAST	HCR1	Eukaryotic translation initiation factor 3 subunit J	1.28474e+07	1.3001e+07	9.85362e+06	6.84457e+06	6.91099e+06	6.51578e+06
Q05778	POC1_YEAST	PBA1	Proteasome chaperone 1	2.84744e+06	2.78362e+06	2.27044e+06	1.15407e+06	1.45371e+06	1.10584e+06
Q05779	COQ9_YEAST	COQ9	Ubiquinone biosynthesis protein COQ9, mitochondrial	750833	1.07405e+06	1.09073e+06			
Q05785	ENT2_YEAST	ENT2	Epsin-2	6.32193e+06	6.43148e+06	5.79948e+06	2.17902e+06	2.69742e+06	2.54093e+06
Q05788	PNPH_YEAST	PNP1	Purine nucleoside phosphorylase	3.71025e+06	2.82773e+06	2.97975e+06	1.62667e+06	1.52129e+06	1.33901e+06
Q05791	CD123_YEAST	CDC123	Cell division cycle protein 123	519201	467139	489122			
Q05809	COA4_YEAST	COA4	Cytochrome oxidase assembly factor 4	1.32569e+06	1.35825e+06	1.37847e+06		875200	
Q05812	MSC3_YEAST	MSC3	Meiotic sister-chromatid recombination protein 3	4.05034e+06	4.21443e+06	4.08676e+06	1.94662e+06	1.96476e+06	1.93745e+06
Q05874	EFM7_YEAST	NNT1	Protein N-terminal and lysine N-methyltransferase EFM7	548642	640103	300516			275830
Q05881	YL287_YEAST	YLR287C	Uncharacterized protein YLR287C	341118	342892	268018	181134		
Q05892	COQ11_YEAST	COQ11	MIOREX complex component 2	221851		188344			
Q05902	ECM38_YEAST	ECM38	Glutathione hydrolase proenzyme	589510	464577	430583	284664		171656
Q05905	HRI1_YEAST	HRI1	Protein HRI1	1.96197e+07	1.87732e+07	1.86993e+07	9.85996e+06	9.9031e+06	9.12349e+06
Q05911	PUR8_YEAST	ADE13	Adenylosuccinate lyase	6.0555e+06	6.09021e+06	6.01522e+06	2.92461e+06	2.66982e+06	2.76026e+06
Q05926	GLRX8_YEAST	GRX8	Glutaredoxin-8	4.18793e+06	4.93069e+06	4.53632e+06	1.83999e+06	2.07637e+06	2.43386e+06
Q05931	HSP7Q_YEAST	SSQ1	Heat shock protein SSQ1, mitochondrial	4.16887e+06	3.37258e+06	3.17841e+06	1.39034e+06	1.89909e+06	1.59454e+06
Q05933	ARPC3_YEAST	ARC18	Actin-related protein 2/3 complex subunit 3	8.60261e+06	8.9186e+06	9.08209e+06	3.80927e+06	4.03119e+06	4.18398e+06
Q05946	UTP13_YEAST	UTP13	U3 small nucleolar RNA-associated protein 13	463973	378490	416416		220990	172981
Q05948	YL225_YEAST	YLR225C	Uncharacterized SVF1-like protein YLR225C	1.51484e+06	1.69241e+06	1.6544e+06	790660	844979	643478
Q05979	KYNU_YEAST	BNA5	Kynureninase	4.12066e+06	4.07187e+06	4.51555e+06	2.24886e+06	2.20075e+06	2.32512e+06
Q05D32	CTSL2_HUMAN	CTDSPL2	CTD small phosphatase-like protein 2	6.95731e+06	6.48364e+06	5.49186e+06	6.40821e+06	6.38116e+06	6.01595e+06
Q06010	STE23_YEAST	STE23	A-factor-processing enzyme	976554	881573	1.14972e+06			440318
Q06103	RPN7_YEAST	RPN7	26S proteasome regulatory subunit RPN7	4.74335e+06	5.00982e+06	6.14737e+06	4.17273e+06	4.12545e+06	3.77185e+06
Q06124	PTN11_HUMAN	PTPN11	Tyrosine-protein phosphatase non-receptor type 11	1.22951e+07	1.23508e+07	1.08031e+07	1.25388e+07	1.25141e+07	1.0623e+07
Q06136	KDSR_HUMAN	KDSR	3-ketodihydrosphingosine reductase	5.34715e+06	5.76367e+06	6.00082e+06	4.49309e+06	5.08917e+06	5.21078e+06
Q06137	YL345_YEAST	YLR345W	Putative 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase YLR345W	1.99334e+06	2.88294e+06	2.30552e+06			
Q06142	IMB1_YEAST	KAP95	Importin subunit beta-1	4.07898e+06	4.98509e+06	3.81301e+06	1.82084e+06	1.79349e+06	1.34855e+06
Q06144	ORM2_YEAST	ORM2	Protein ORM2	2.37938e+06	2.34435e+06	2.21069e+06	1.27929e+06	1.14396e+06	1.46983e+06
Q06146	YL257_YEAST	YLR257W	Uncharacterized protein YLR257W	7.18144e+06	6.07855e+06	6.7681e+06	2.49653e+06	2.85495e+06	2.97035e+06
Q06147	LCB5_YEAST	LCB5	Sphingoid long chain base kinase 5	159215	139520				
Q06151	DCPS_YEAST	DCS1	m7GpppX diphosphatase	1.86767e+07	1.83455e+07	1.82577e+07	9.40977e+06	9.49881e+06	9.46643e+06
Q06168	SFH1_YEAST	SFH1	Chromatin structure-remodeling complex subunit SFH1	401315	306161	359348			
Q06169	PEX30_YEAST	PEX30	Peroxisomal membrane protein PEX30	423721	297438	441988		142260	
Q06177	TMA10_YEAST	TMA10	Translation machinery-associated protein 10	1.11426e+07	1.09154e+07	1.14559e+07	5.58697e+06	6.16337e+06	6.11463e+06
Q06203	PUR1_HUMAN	PPAT	Amidophosphoribosyltransferase	8.45507e+06	9.08457e+06	9.00854e+06	8.24047e+06	9.25768e+06	8.93446e+06
Q06205	FKBP4_YEAST	FPR4	FK506-binding protein 4	1.90255e+06	2.84306e+06	2.60046e+06	1.20937e+06	1.20272e+06	1.20935e+06
Q06210	GFPT1_HUMAN	GFPT1	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1	7.23163e+06	7.80849e+06	7.2373e+06	7.13943e+06	7.05225e+06	7.2646e+06
Q06217	SMD2_YEAST	SMD2	Small nuclear ribonucleoprotein Sm D2	1.03225e+06		892450			
Q06224	YSH1_YEAST	YSH1	Endoribonuclease YSH1	616756	883480	722759	578898	743880	688533
Q06251	YL177_YEAST	YLR177W	Uncharacterized protein YLR177W	808987	811184	820329	459916	472798	303063
Q06252	YL179_YEAST	YLR179C	Uncharacterized protein YLR179C	4.96667e+07	5.45027e+07	5.62344e+07	2.60112e+07	2.70301e+07	2.67257e+07
Q06263	VTA1_YEAST	VTA1	Vacuolar protein sorting-associated protein VTA1	346076	387747				
Q06265	EXOS9_HUMAN	EXOSC9	Exosome complex component RRP45	7.36118e+06	7.22275e+06	6.82576e+06	7.06203e+06	7.12931e+06	7.19787e+06
Q06287	NEP1_YEAST	EMG1	Ribosomal RNA small subunit methyltransferase NEP1	607185	722069	616056	267369	225818	187881
Q06323	PSME1_HUMAN	PSME1	Proteasome activator complex subunit 1	4.24679e+07	4.17047e+07	3.96895e+07	4.13287e+07	4.05658e+07	3.90014e+07
Q06336	GGA1_YEAST	GGA1	ADP-ribosylation factor-binding protein GGA1	9.08976e+06	9.28704e+06	8.43961e+06	6.83813e+06	6.37938e+06	6.58266e+06
Q06338	BCP1_YEAST	BCP1	Protein BCP1	1.66375e+06	1.62074e+06	1.72811e+06	746343	662933	605714
Q06385	VPS74_YEAST	VPS74	Vacuolar protein sorting-associated protein 74	1.50507e+06	1.34777e+06	1.56254e+06	868460	651705	856014
Q06405	ATPK_YEAST	ATP17	ATP synthase subunit f, mitochondrial	3.42595e+07	3.7126e+07	3.52132e+07	1.74641e+07	1.88672e+07	1.66011e+07
Q06406	LSM6_YEAST	LSM6	U6 snRNA-associated Sm-like protein LSm6	9.79107e+06	8.54213e+06	8.92669e+06	4.87862e+06	4.34704e+06	4.66076e+06
Q06440	CORO_YEAST	CRN1	Coronin-like protein	1.11483e+07	1.14329e+07	1.18938e+07	5.1181e+06	5.09936e+06	5.23352e+06
Q06449	PIN3_YEAST	PIN3	[PSI+] inducibility protein 3	4.83892e+06	4.46762e+06	4.31885e+06	2.19784e+06	2.52505e+06	2.15125e+06
Q06451	TPO3_YEAST	TPO3	Polyamine transporter 3	3.81106e+06	3.69599e+06	3.97089e+06		2.08322e+06	2.09206e+06
Q06489	MTNA_YEAST	MRI1	Methylthioribose-1-phosphate isomerase	1.97427e+06	2.0275e+06	2.32549e+06	1.2195e+06	1.05152e+06	1.1607e+06
Q06494	PLR1_YEAST	YPR127W	Putative pyridoxal reductase	7.23719e+07	6.90965e+07	7.18609e+07	3.63905e+07	3.46882e+07	3.53864e+07
Q06497	ANT1_YEAST	ANT1	Peroxisomal adenine nucleotide transporter 1	509111	256936	381967	225554	208852	163670
Q06505	IWS1_YEAST	SPN1	Transcription factor SPN1	3.05183e+06	2.92808e+06	2.58921e+06	1.54425e+06	1.53824e+06	1.53203e+06
Q06506	RRP9_YEAST	RRP9	Ribosomal RNA-processing protein 9	265964	308566	357438		142382	
Q06508	LOA1_YEAST	LOA1	Lysophosphatidic acid:oleoyl-CoA acyltransferase 1		1.95277e+06				
Q06523	YP148_YEAST	YPR148C	Uncharacterized protein YPR148C	7.16058e+06	7.38239e+06	7.48077e+06	3.76555e+06	3.60651e+06	3.74708e+06
Q06546	GABPA_HUMAN	GABPA	GA-binding protein alpha chain	4.66008e+06	4.91801e+06	4.73136e+06	4.67908e+06	4.65496e+06	5.1826e+06
Q06547	GABP1_HUMAN	GABPB1	GA-binding protein subunit beta-1	2.77261e+06	2.22024e+06	2.53265e+06	3.10872e+06	2.52278e+06	1.59334e+06
Q06561	UNC52_CAEEL	unc-52	Basement membrane proteoglycan	9.28448e+06	8.74327e+06	8.65761e+06	1.10144e+07	1.09244e+07	1.09717e+07
Q06587	RING1_HUMAN	RING1	E3 ubiquitin-protein ligase RING1	9.60536e+06	1.00473e+07	3.29728e+06	9.92666e+06	8.31232e+06	8.1057e+06
Q06608	PDXH_YEAST	YPR172W	Pyridoxamine 5'-phosphate oxidase homolog	4.87627e+06	4.86652e+06	4.51081e+06	2.05857e+06	2.49057e+06	2.21093e+06
Q06609	RAD51_HUMAN	RAD51	DNA repair protein RAD51 homolog 1	5.19844e+06		393983			800413
Q06624	RHC31_YEAST	AOS1	DNA damage tolerance protein RHC31	703394	739328	785747	351249	367240	431013
Q06625	GDE_YEAST	GDB1	Glycogen debranching enzyme	3.38913e+06	3.41935e+06	3.35077e+06	1.70674e+06	1.59161e+06	1.523e+06
Q06630	MHR1_YEAST	MHR1	Mitochondrial homologous recombination protein 1	1.49886e+06	1.49446e+06	1.59741e+06	505776	459224	332504
Q06631	BFR2_YEAST	BFR2	Protein BFR2	734313	773107	1.04594e+06			
Q06639	RSC3_YEAST	RSC3	Chromatin structure-remodeling complex protein RSC3	6.53635e+06		7.95268e+06		6.1051e+06	
Q06676	YFT2_YEAST	YFT2	FIT family protein YFT2	522982	1.09272e+06		699693	753564	875035
Q06677	SWA2_YEAST	SWA2	Auxilin-like clathrin uncoating factor SWA2	1.54609e+06	1.41666e+06	1.20468e+06	767562	776592	693504
Q06678	RM35_YEAST	MRPL35	54S ribosomal protein L35, mitochondrial	942158	950423	962108	416260	384656	331862
Q06682	UBX5_YEAST	UBX5	UBX domain-containing protein 5	306423	407947	724980	304216		
Q06685	VIP1_YEAST	VIP1	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase	1.01599e+06	1.12795e+06	911022	406517	337843	460639
Q06697	CDC73_YEAST	CDC73	Cell division control protein 73	1.77592e+06	1.72555e+06	1.6976e+06	673472	708578	1.03507e+06
Q06704	IMH1_YEAST	IMH1	Golgin IMH1	283848	188433	634965			
Q06705	CSR1_YEAST	CSR1	Phosphatidylinositol transfer protein CSR1	5.84387e+06	5.64154e+06	6.34924e+06	3.02314e+06	2.84711e+06	2.47804e+06
Q06706	ELP1_YEAST	IKI3	Elongator complex protein 1	577737	705579	763427	370942		371918
Q06709	REH1_YEAST	REH1	Cytoplasmic 60S subunit biogenesis factor REH1	2.42411e+06					
Q06787	FMR1_HUMAN	FMR1	Synaptic functional regulator FMR1	6.60089e+06	6.15151e+06	6.86714e+06	6.71483e+06	6.40796e+06	6.63852e+06
Q06830	PRDX1_HUMAN	PRDX1	Peroxiredoxin-1	5.9333e+08	5.99555e+08	6.36408e+08	5.67659e+08	5.94267e+08	6.08861e+08
Q06833	NVJ2_YEAST	NVJ2	Nucleus-vacuole junction protein 2	421615	660374	458981			
Q06892	POS5_YEAST	POS5	NADH kinase POS5, mitochondrial	1.75657e+06	1.53693e+06	1.64049e+06	532942	772014	870225
Q07020	RL18_HUMAN	RPL18	60S ribosomal protein L18	2.07291e+08	2.15673e+08	2.11614e+08	2.03137e+08	2.11497e+08	2.18687e+08
Q07021	C1QBP_HUMAN	C1QBP	Complement component 1 Q subcomponent-binding protein, mitochondrial	8.27478e+07	7.56399e+07	8.22796e+07	9.28931e+07	8.22677e+07	7.56974e+07
Q07065	CKAP4_HUMAN	CKAP4	Cytoskeleton-associated protein 4	8.48256e+06	7.96776e+06	7.75545e+06	7.66141e+06	7.87919e+06	7.51321e+06
Q07085	EST2_CAEEL	F13H6.3	Esterase CM06B1	1.31594e+06	1.97939e+06	1.76757e+06	2.08277e+06	1.89066e+06	2.30396e+06
Q07157	ZO1_HUMAN	TJP1	Tight junction protein ZO-1	4.34001e+06	4.28159e+06	4.3981e+06	4.89702e+06	4.32613e+06	3.47941e+06
Q07362	PBP4_YEAST	PBP4	Protein PBP4	1.6377e+06	1.47661e+06	1.66182e+06	668826		452002
Q07381	TSR1_YEAST	TSR1	Ribosome biogenesis protein TSR1	379829	534191	413143	198307		267622
Q07418	PEX19_YEAST	PEX19	Peroxisomal membrane protein import receptor PEX19	1.03283e+06	945478	904757	548497	502649	504098
