Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R01.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R02.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R03.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R01.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R02.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R03.mzML
Q11176	WDR1_CAEEL	unc-78	Actin-interacting protein 1	5.38622e+06	5.00029e+06	5.08272e+06	6.70103e+06	6.46569e+06	6.75658e+06
Q11183	TXND9_CAEEL	txdc-9	Thioredoxin domain-containing protein 9		198423	357191	474963	465784	458632
Q11185	HYI_CAEEL	C05D11.5	Putative hydroxypyruvate isomerase				865878	658293	713580
Q11189	RT17_CAEEL	mrps-17	28S ribosomal protein S17, mitochondrial	2.2328e+06	2.41786e+06	2.27078e+06	2.57485e+06	2.65129e+06	3.08624e+06
Q11190	ETFD_CAEEL	let-721	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial	6.09355e+06	6.15874e+06	5.48299e+06	7.25733e+06	7.22059e+06	8.27632e+06
Q12000	TMA46_YEAST	TMA46	Translation machinery-associated protein 46	1.51066e+06	1.42103e+06	1.46076e+06	761497	954051	1.19061e+06
Q12008	PMG2_YEAST	GPM2	Phosphoglycerate mutase 2	5.28821e+06	5.86934e+06	5.79658e+06	2.96982e+06	2.94035e+06	2.73624e+06
Q12009	TRMB_YEAST	TRM8	tRNA (guanine-N(7)-)-methyltransferase	3.67954e+06	3.88052e+06	2.81455e+06		2.00551e+06	
Q12012	YO289_YEAST	YOR289W	Uncharacterized protein YOR289W	2.16316e+06	2.54005e+06	2.18538e+06	931684	978535	945297
Q12018	CDC53_YEAST	CDC53	Cell division control protein 53	980441	782191	943171	394331	415624	436553
Q12024	YTM1_YEAST	YTM1	Ribosome biogenesis protein YTM1	528748	519674	627032			
Q12028	AP1G1_YEAST	APL4	AP-1 complex subunit gamma-1	1.11962e+06	974811	1.12182e+06	220502		
Q12029	FSF1_YEAST	FSF1	Sideroflexin FSF1	4.21231e+06	4.20596e+06	4.33107e+06	1.96661e+06	1.88866e+06	2.14113e+06
Q12030	TAF10_YEAST	TAF10	Transcription initiation factor TFIID subunit 10	1.44836e+06	1.32935e+06	1.2358e+06	909108	652281	657561
Q12032	AIM41_YEAST	AIM41	Altered inheritance of mitochondria protein 41, mitochondrial	5.67267e+06	4.78931e+06	5.46912e+06	1.9914e+06	2.13237e+06	1.48911e+06
Q12033	PALA_YEAST	RIM20	pH-response regulator protein palA/RIM20	398942	410030	582875	169561	221549	159198
Q12044	RCN2_YEAST	RCN2	Regulator of calcineurin 2	3.9602e+06	4.23392e+06	4.1554e+06	1.99805e+06	1.74142e+06	2.39208e+06
Q12068	GRE2_YEAST	GRE2	NADPH-dependent methylglyoxal reductase GRE2	1.88223e+07	1.93011e+07	2.01881e+07	9.45645e+06	9.5767e+06	9.56459e+06
Q12074	SPEE_YEAST	SPE3	Spermidine synthase	2.08835e+07	2.04539e+07	2.10519e+07	1.00215e+07	1.0598e+07	1.00935e+07
Q12109	SYWC_YEAST	WRS1	Tryptophan--tRNA ligase, cytoplasmic	6.82143e+06	6.90785e+06	7.36166e+06	3.08405e+06	3.47183e+06	3.24964e+06
Q12114	CHS5_YEAST	CHS5	Chitin biosynthesis protein CHS5	2.97988e+06	3.31058e+06	3.08935e+06	1.29265e+06	1.59023e+06	1.53961e+06
Q12117	MRH1_YEAST	MRH1	Protein MRH1	4.24793e+07	3.68046e+07	4.23556e+07	1.97393e+07	1.98794e+07	2.26833e+07
Q12118	SGT2_YEAST	SGT2	Small glutamine-rich tetratricopeptide repeat-containing protein 2	3.28717e+07	3.16156e+07	3.20725e+07	1.59283e+07	1.50949e+07	1.54381e+07
Q12122	HOSM_YEAST	LYS21	Homocitrate synthase, mitochondrial	1.72068e+07	1.72393e+07	1.76513e+07	8.96846e+06	8.99414e+06	9.26016e+06
Q12123	DCS2_YEAST	DCS2	Inactive diphosphatase DCS2	3.64149e+07	3.59115e+07	3.76398e+07	1.76353e+07	1.84495e+07	1.98671e+07
Q12125	GET4_YEAST	GET4	Golgi to ER traffic protein 4	1.24846e+07	1.14463e+07	9.43152e+06	4.60672e+06		5.51583e+06
Q12136	SAS10_YEAST	SAS10	Something about silencing protein 10	200357	324049	238842			78499.8
Q12154	GET3_YEAST	GET3	ATPase GET3	9.57547e+06	9.43734e+06	8.56986e+06	4.71931e+06	4.86641e+06	4.94452e+06
Q12156	AIM7_YEAST	AIM7	Protein AIM7	5.9117e+06	7.10382e+06	5.90684e+06	3.32282e+06	3.4787e+06	2.97212e+06
Q12159	YRA1_YEAST	YRA1	RNA annealing protein YRA1	2.65059e+07	2.51644e+07	2.44876e+07	1.37191e+07	1.29737e+07	1.32194e+07
Q12164	POM33_YEAST	POM33	Pore membrane protein of 33 kDa	7.96982e+06	7.7907e+06	8.59028e+06	4.11028e+06	4.09651e+06	4.64106e+06
Q12165	ATPD_YEAST	ATP16	ATP synthase subunit delta, mitochondrial	2.36056e+07	2.17685e+07	2.47445e+07	1.21702e+07	1.05495e+07	1.11398e+07
Q12166	LEU9_YEAST	LEU9	2-isopropylmalate synthase 2, mitochondrial	1.50724e+06	1.51915e+06	1.5971e+06	564588	721875	
Q12176	MAK21_YEAST	MAK21	Ribosome biogenesis protein MAK21	376333					
Q12178	FCY1_YEAST	FCY1	Cytosine deaminase	649159	532834	571210			
Q12179	YP245_YEAST	YPL245W	Uncharacterized protein YPL245W	1.00734e+06	920070		522907		
Q12189	RPIA_YEAST	RKI1	Ribose-5-phosphate isomerase	1.10273e+06	1.11272e+06	1.46716e+06	691383		704633
Q12191	BUG1_YEAST	BUG1	Binder of USO1 and GRH1 protein 1	4.45683e+06	5.08555e+06	4.23004e+06	2.24525e+06	2.53134e+06	2.45387e+06
Q12207	NCE2_YEAST	NCE102	Non-classical export protein 2	2.10509e+07	2.01638e+07	2.30425e+07	1.09949e+07	8.77316e+06	8.72997e+06
Q12211	PUS1_YEAST	PUS1	tRNA pseudouridine synthase 1		458368	557783			
Q12213	RL7B_YEAST	RPL7B	60S ribosomal protein L7-B	1.70007e+07	1.95302e+07	2.01321e+07	1.06327e+07	1.02097e+07	1.02283e+07
Q12230	LSP1_YEAST	LSP1	Sphingolipid long chain base-responsive protein LSP1	8.14561e+07	7.96715e+07	7.86433e+07	3.96658e+07	4.00106e+07	3.82543e+07
Q12233	ATPN_YEAST	ATP20	ATP synthase subunit g, mitochondrial	1.23322e+07	1.05796e+07	1.19311e+07	6.38097e+06	6.46208e+06	5.54659e+06
Q12250	RPN5_YEAST	RPN5	26S proteasome regulatory subunit RPN5	5.55828e+06	5.66693e+06	5.55283e+06	2.5298e+06	2.72067e+06	2.83005e+06
Q12265	KPR5_YEAST	PRS5	Ribose-phosphate pyrophosphokinase 5	4.0514e+06	4.24034e+06	3.78526e+06	1.92368e+06	1.99733e+06	1.8964e+06
Q12271	INP53_YEAST	INP53	Polyphosphatidylinositol phosphatase INP53	988442	810273			492364	463600
Q12285	MDY2_YEAST	MDY2	Ubiquitin-like protein MDY2	5.24931e+06	5.23404e+06	5.34633e+06	2.83284e+06	2.6428e+06	2.34279e+06
Q12287	COX17_YEAST	COX17	Cytochrome c oxidase copper chaperone	4.22499e+06	4.73883e+06	4.20127e+06	2.49383e+06	1.85044e+06	2.55685e+06
Q12305	RDL1_YEAST	RDL1	Thiosulfate:glutathione sulfurtransferase	4.32082e+07	4.20684e+07	4.21011e+07	2.07591e+07	1.97869e+07	1.97138e+07
Q12306	SMT3_YEAST	SMT3	Ubiquitin-like protein SMT3	2.5907e+07	2.67234e+07	2.79056e+07	1.40687e+07	1.40749e+07	1.32902e+07
Q12314	SFM1_YEAST	SFM1	Protein arginine N-methyltransferase SFM1	4.9722e+06	5.06389e+06	4.92409e+06	2.64088e+06	2.72355e+06	2.93744e+06
Q12329	HSP42_YEAST	HSP42	Heat shock protein 42	2.08338e+07	1.97443e+07	1.81809e+07	9.15343e+06	8.73539e+06	8.49631e+06
Q12331	YFAS1_YEAST	YDR262W	FAS1 domain-containing protein YDR262W	2.11492e+06	2.5173e+06	2.62883e+06	827803	870082	909150
Q12335	PST2_YEAST	PST2	Protoplast secreted protein 2	7.08422e+07	7.36655e+07	7.38648e+07	3.38346e+07	3.44196e+07	3.31889e+07
Q12344	GYP5_YEAST	GYP5	GTPase-activating protein GYP5	1.57107e+06	1.58488e+06	1.38284e+06	538899	405934	629969
Q12349	ATP14_YEAST	ATP14	ATP synthase subunit H, mitochondrial	5.57226e+07	5.61117e+07	5.60343e+07	2.78417e+07	2.74535e+07	2.58942e+07
Q12354	APTH1_YEAST	YLR118C	Acyl-protein thioesterase 1	1.13717e+06	1.19968e+06	1.21044e+06			736756
Q12355	PST1_YEAST	PST1	Cell wall mannoprotein PST1	1.05639e+07	1.03639e+07	1.139e+07	5.44236e+06	5.26509e+06	5.72628e+06
Q12363	WTM1_YEAST	WTM1	Transcriptional modulator WTM1	3.42336e+07	3.23868e+07	3.42314e+07	1.68157e+07	1.69682e+07	1.75832e+07
Q12377	RPN6_YEAST	RPN6	26S proteasome regulatory subunit RPN6	7.02287e+06	6.78786e+06	6.59103e+06	3.70112e+06	3.28413e+06	3.49144e+06
Q12402	YOP1_YEAST	YOP1	Protein YOP1	3.80714e+07	4.00668e+07	4.62196e+07	2.19527e+07	2.43858e+07	2.45705e+07
Q12404	MPD1_YEAST	MPD1	Protein disulfide-isomerase MPD1	424335	442768	418684	265820		151978
Q12415	TFC7_YEAST	TFC7	Transcription factor tau 55 kDa subunit	139740	225565	157364		119113	
Q12434	GDIR_YEAST	RDI1	Rho GDP-dissociation inhibitor	6.09813e+06	7.36149e+06	6.04968e+06	2.64324e+06	2.67731e+06	2.37721e+06
Q12443	RTN2_YEAST	RTN2	Reticulon-like protein 2	2.53347e+07	2.53553e+07	2.52763e+07	1.20482e+07	1.17693e+07	1.29526e+07
Q12447	PAA1_YEAST	PAA1	Polyamine N-acetyltransferase 1	2.89026e+07	2.9077e+07	2.77706e+07	1.34236e+07	1.47824e+07	1.41061e+07
Q12449	AHA1_YEAST	AHA1	Hsp90 co-chaperone AHA1	9.62336e+06	9.73244e+06	8.96788e+06	4.89914e+06	4.90942e+06	4.55534e+06
Q12451	OSH2_YEAST	OSH2	Oxysterol-binding protein homolog 2	1.23176e+06	1.05228e+06	939093	603546	561898	548054
Q12452	ERG27_YEAST	ERG27	3-keto-steroid reductase	2.34895e+06	2.17281e+06	2.10608e+06	1.10206e+06	955013	724346
Q12453	CEX1_YEAST	CEX1	Cytoplasmic export protein 1	1.92887e+06	1.37842e+06	2.0184e+06	1.33083e+06		
Q12458	YPR1_YEAST	YPR1	Putative reductase 1	1.49288e+07	1.57163e+07	1.59094e+07	8.00694e+06	8.22945e+06	9.35144e+06
Q12460	NOP56_YEAST	NOP56	Nucleolar protein 56	1.57161e+07	1.65306e+07	1.57644e+07	7.48718e+06	7.47611e+06	7.54269e+06
Q12462	PEX11_YEAST	PEX11	Peroxisomal membrane protein PMP27	2.58376e+06	2.8155e+06	3.36045e+06	1.03184e+06	1.45419e+06	
Q12464	RUVB2_YEAST	RVB2	RuvB-like protein 2	5.43661e+06	6.35723e+06	6.28511e+06	3.1421e+06	3.80593e+06	3.2043e+06
Q12466	TCB1_YEAST	TCB1	Tricalbin-1	2.66225e+06	2.76864e+06	2.76972e+06	1.3387e+06	1.24279e+06	1.16575e+06
Q12480	ETFA_YEAST	AIM45	Probable electron transfer flavoprotein subunit alpha, mitochondrial	4.66341e+06	5.07173e+06	4.95537e+06	2.11273e+06	2.29703e+06	2.27749e+06
Q12486	YOR31_YEAST	YOR131C	Uncharacterized hydrolase YOR131C	1.66919e+06	1.67861e+06	1.79344e+06	776072	825944	807790
Q12496	YO098_YEAST	YOL098C	Uncharacterized protein YOL098C	661255	565761	616815	253219		
Q12497	FMP16_YEAST	FMP16	Protein FMP16, mitochondrial	7.10046e+07	7.13278e+07	6.85535e+07	3.76624e+07	3.84801e+07	3.89008e+07
Q12499	NOP58_YEAST	NOP58	Nucleolar protein 58	8.88107e+06	9.28926e+06	8.93473e+06	4.4789e+06	4.67207e+06	4.313e+06
Q12511	PDP1_YEAST	PTC5	[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial	1.7063e+06		2.06602e+06			
Q12513	TMA17_YEAST	TMA17	Translation machinery-associated protein 17	3.75701e+07	3.60716e+07	3.85003e+07	1.80223e+07	1.80251e+07	1.91755e+07
Q12514	NOT5_YEAST	NOT5	General negative regulator of transcription subunit 5	950396	683195				
Q12517	DCP1_YEAST	DCP1	mRNA-decapping enzyme subunit 1	474936	405384				
Q12518	ENT1_YEAST	ENT1	Epsin-1	5.37747e+06	5.83258e+06	4.95667e+06	2.18877e+06	2.39981e+06	2.34775e+06
Q12522	IF6_YEAST	TIF6	Eukaryotic translation initiation factor 6	1.30664e+07	1.33515e+07	1.40756e+07	6.66943e+06	7.41885e+06	7.0019e+06
Q12532	RQC2_YEAST	RQC2	Ribosome quality control complex subunit 2	825032	704446	650020	249097	261487	246487
Q12680	GLT1_YEAST	GLT1	Glutamate synthase [NADH]	1.64794e+08	1.6214e+08	1.55462e+08	1.36872e+08	1.48528e+08	
Q12692	H2AZ_YEAST	HTZ1	Histone H2A.Z	2.31708e+06	2.6824e+06	3.26528e+06	869662	1.17512e+06	1.43708e+06
Q12746	PGA3_YEAST	PGA3	Plasma membrane-associated coenzyme Q6 reductase PGA3	1.73433e+06	1.75814e+06	1.48904e+06	1.35854e+06	920533	947247
Q12765	SCRN1_HUMAN	SCRN1	Secernin-1	218099	219737		210653	153661	
Q12768	WASC5_HUMAN	WASHC5	WASH complex subunit 5	2.38462e+06	2.54848e+06	2.44947e+06	2.26726e+06	2.43882e+06	2.57624e+06
Q12769	NU160_HUMAN	NUP160	Nuclear pore complex protein Nup160	8.32103e+06	8.22681e+06	8.60809e+06	7.68186e+06	8.18873e+06	8.2377e+06
Q12788	TBL3_HUMAN	TBL3	Transducin beta-like protein 3	8.52334e+06	8.62769e+06	8.78458e+06	8.70171e+06	8.85428e+06	9.3272e+06
Q12789	TF3C1_HUMAN	GTF3C1	General transcription factor 3C polypeptide 1	3.60736e+06	3.61913e+06	3.53648e+06	3.53254e+06	3.73757e+06	3.23912e+06
Q12792	TWF1_HUMAN	TWF1	Twinfilin-1	8.8718e+06	9.22516e+06	9.36539e+06	8.81323e+06	8.63298e+06	8.44053e+06
Q12797	ASPH_HUMAN	ASPH	Aspartyl/asparaginyl beta-hydroxylase	1.98033e+07	2.01815e+07	1.92632e+07	1.93616e+07	1.94165e+07	1.93076e+07
Q12800	TFCP2_HUMAN	TFCP2	Alpha-globin transcription factor CP2	2.50594e+06	2.41866e+06	2.48274e+06	2.26599e+06	2.15198e+06	1.88557e+06
Q12802	AKP13_HUMAN	AKAP13	A-kinase anchor protein 13	2.83409e+06	2.89244e+06	2.79135e+06	2.57133e+06	2.69771e+06	2.78296e+06
Q12815	TROAP_HUMAN	TROAP	Tastin	93683.5	46313		83079.9	113673	113900
Q12824	SNF5_HUMAN	SMARCB1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1	6.67398e+06	5.74454e+06	5.79759e+06	5.61548e+06	5.1152e+06	5.18274e+06
Q12830	BPTF_HUMAN	BPTF	Nucleosome-remodeling factor subunit BPTF	2.22583e+06	2.43081e+06	2.02115e+06	1.91602e+06	2.04065e+06	2.18428e+06
Q12846	STX4_HUMAN	STX4	Syntaxin-4	7.26873e+06	7.65555e+06	7.77638e+06	7.46598e+06	7.13479e+06	7.24714e+06
Q12849	GRSF1_HUMAN	GRSF1	G-rich sequence factor 1	9.5761e+06	9.58436e+06	9.64536e+06	9.56324e+06	8.98652e+06	8.80103e+06
Q12857	NFIA_HUMAN	NFIA	Nuclear factor 1 A-type	4.64611e+06	4.81703e+06	4.88197e+06	4.84244e+06	5.13225e+06	4.81423e+06
Q12872	SFSWA_HUMAN	SFSWAP	Splicing factor, suppressor of white-apricot homolog	2.49391e+06	2.80507e+06	2.35988e+06	2.25392e+06	2.55812e+06	3.09736e+06
Q12873	CHD3_HUMAN	CHD3	Chromodomain-helicase-DNA-binding protein 3	1.07383e+07	1.17721e+07	1.14559e+07	1.07676e+07	1.12413e+07	1.15016e+07
Q12874	SF3A3_HUMAN	SF3A3	Splicing factor 3A subunit 3	2.6966e+07	2.61547e+07	2.48866e+07	2.51669e+07	2.58658e+07	2.5174e+07
Q12882	DPYD_HUMAN	DPYD	Dihydropyrimidine dehydrogenase [NADP(+)]	465034	458817	653737	377938	524698	427774
Q12888	TP53B_HUMAN	TP53BP1	TP53-binding protein 1	5.96e+06	5.6716e+06	5.91963e+06	5.58494e+06	5.66461e+06	5.50495e+06
Q12894	IFRD2_HUMAN	IFRD2	Interferon-related developmental regulator 2	2.91532e+06	2.66955e+06	2.97304e+06	3.09453e+06	2.77701e+06	2.87922e+06
Q12899	TRI26_HUMAN	TRIM26	Tripartite motif-containing protein 26	1.37639e+06	1.41888e+06	1.18382e+06	1.58065e+06	1.38711e+06	1.31243e+06
Q12904	AIMP1_HUMAN	AIMP1	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1	3.1619e+07	3.2619e+07	3.01188e+07	3.14149e+07	3.19249e+07	3.03875e+07
Q12905	ILF2_HUMAN	ILF2	Interleukin enhancer-binding factor 2	6.41084e+07	6.19018e+07	6.13353e+07	6.16269e+07	6.37534e+07	5.80832e+07
Q12906	ILF3_HUMAN	ILF3	Interleukin enhancer-binding factor 3	6.42493e+07	6.25291e+07	6.21354e+07	5.94164e+07	6.09797e+07	6.09355e+07
Q12907	LMAN2_HUMAN	LMAN2	Vesicular integral-membrane protein VIP36	2.7901e+07	2.64986e+07	2.46572e+07	2.67361e+07	2.54263e+07	2.45559e+07
Q12926	ELAV2_HUMAN	ELAVL2	ELAV-like protein 2	1.28758e+07	1.35445e+07	1.39915e+07	1.51911e+07	1.55651e+07	1.48028e+07
Q12931	TRAP1_HUMAN	TRAP1	Heat shock protein 75 kDa, mitochondrial	5.87079e+07	5.99552e+07	5.99838e+07	5.72198e+07	5.86952e+07	5.89776e+07
Q12933	TRAF2_HUMAN	TRAF2	TNF receptor-associated factor 2	801569	821249	883331	947535	847083	878462
Q12948	FOXC1_HUMAN	FOXC1	Forkhead box protein C1	2.23475e+06	2.25635e+06	1.54802e+06	1.88653e+06	2.10258e+06	1.8475e+06
Q12955	ANK3_HUMAN	ANK3	Ankyrin-3	1.10077e+07	1.39539e+07	1.29659e+07	1.19819e+07	1.26484e+07	1.27104e+07
Q12959	DLG1_HUMAN	DLG1	Disks large homolog 1	5.24996e+06	5.17087e+06	5.90974e+06	4.9133e+06	5.3859e+06	4.83955e+06
Q12962	TAF10_HUMAN	TAF10	Transcription initiation factor TFIID subunit 10	1.73614e+06	1.78221e+06	1.96852e+06	1.59342e+06	1.4835e+06	1.49983e+06
Q12965	MYO1E_HUMAN	MYO1E	Unconventional myosin-Ie	8.32167e+07	7.88329e+07	8.10514e+07	7.61619e+07	7.47733e+07	7.60539e+07
Q12972	PP1R8_HUMAN	PPP1R8	Nuclear inhibitor of protein phosphatase 1	7.06625e+06	6.25152e+06	6.75336e+06	6.6628e+06	6.43052e+06	6.45327e+06
Q12979	ABR_HUMAN	ABR	Active breakpoint cluster region-related protein	2.82833e+06	2.74988e+06	3.07109e+06	3.32378e+06	2.75021e+06	2.75954e+06
Q12980	NPRL3_HUMAN	NPRL3	GATOR complex protein NPRL3	244132			221114	193888	180496
Q12981	SEC20_HUMAN	BNIP1	Vesicle transport protein SEC20			1.54152e+06		1.72813e+06	1.54099e+06
Q12982	BNIP2_HUMAN	BNIP2	BCL2/adenovirus E1B 19 kDa protein-interacting protein 2	740019	890546	1.09342e+06	813466	646297	903610
Q12983	BNIP3_HUMAN	BNIP3	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3	1.37184e+06	1.23676e+06	1.04728e+06	1.34821e+06	1.14991e+06	1.11801e+06
Q12986	NFX1_HUMAN	NFX1	Transcriptional repressor NF-X1	332794	221619		363151	240438	357106
Q12996	CSTF3_HUMAN	CSTF3	Cleavage stimulation factor subunit 3	7.55105e+06	7.32346e+06	6.56463e+06	7.11205e+06	6.93177e+06	6.6417e+06
Q13011	ECH1_HUMAN	ECH1	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial	3.52471e+07	3.86508e+07	3.91222e+07	3.65601e+07	3.78299e+07	3.86604e+07
Q13033	STRN3_HUMAN	STRN3	Striatin-3	2.82857e+06	2.28758e+06	2.90576e+06	3.52482e+06	3.38908e+06	3.63792e+06
Q13042	CDC16_HUMAN	CDC16	Cell division cycle protein 16 homolog	2.62162e+06	2.70171e+06	2.74027e+06	2.95517e+06	2.69116e+06	2.75496e+06
Q13043	STK4_HUMAN	STK4	Serine/threonine-protein kinase 4	1.631e+06	1.65301e+06	1.81284e+06	1.75641e+06	1.90541e+06	1.75595e+06
Q13045	FLII_HUMAN	FLII	Protein flightless-1 homolog	1.10337e+07	1.09461e+07	1.11051e+07	1.04565e+07	1.0668e+07	1.05635e+07
Q13049	TRI32_HUMAN	TRIM32	E3 ubiquitin-protein ligase TRIM32	518458		628604			
Q13057	COASY_HUMAN	COASY	Bifunctional coenzyme A synthase	1.27551e+07	1.26685e+07	1.27858e+07	1.23537e+07	1.26102e+07	1.29443e+07
Q13084	RM28_HUMAN	MRPL28	39S ribosomal protein L28, mitochondrial	2.545e+06	2.04331e+06	1.67983e+06	1.96454e+06	1.94222e+06	1.67488e+06
Q13085	ACACA_HUMAN	ACACA	Acetyl-CoA carboxylase 1	8.65207e+06	8.79772e+06	8.50315e+06	8.14805e+06	8.10177e+06	8.16061e+06
Q13098	CSN1_HUMAN	GPS1	COP9 signalosome complex subunit 1	1.09836e+07	1.0818e+07	1.06404e+07	1.11893e+07	1.1038e+07	1.06298e+07
Q13107	UBP4_HUMAN	USP4	Ubiquitin carboxyl-terminal hydrolase 4	5.15989e+06	5.53603e+06	4.7789e+06	5.32629e+06	5.55267e+06	4.87467e+06
Q13111	CAF1A_HUMAN	CHAF1A	Chromatin assembly factor 1 subunit A	1.71398e+06	1.72222e+06	1.74292e+06	1.70056e+06	1.58383e+06	1.65189e+06
Q13112	CAF1B_HUMAN	CHAF1B	Chromatin assembly factor 1 subunit B	3.49739e+06	3.65879e+06	3.48714e+06	3.5137e+06	3.61141e+06	3.55969e+06
Q13123	RED_HUMAN	IK	Protein Red	6.99966e+06	6.95158e+06	6.80742e+06	6.68888e+06	6.68851e+06	6.59055e+06
Q13126	MTAP_HUMAN	MTAP	S-methyl-5'-thioadenosine phosphorylase	1.27765e+07	1.25196e+07	1.27995e+07	1.21335e+07	1.26583e+07	1.30105e+07
Q13131	AAPK1_HUMAN	PRKAA1	5'-AMP-activated protein kinase catalytic subunit alpha-1	5.36865e+06	5.14465e+06	4.94427e+06	5.11137e+06	5.65007e+06	5.14335e+06
Q13136	LIPA1_HUMAN	PPFIA1	Liprin-alpha-1	3.59111e+06	3.94568e+06	3.67947e+06	3.38824e+06	3.62424e+06	3.88112e+06
Q13144	EI2BE_HUMAN	EIF2B5	Translation initiation factor eIF-2B subunit epsilon	8.44406e+06	8.84803e+06	8.48475e+06	7.97768e+06	8.51142e+06	8.39244e+06
Q13148	TADBP_HUMAN	TARDBP	TAR DNA-binding protein 43	3.27943e+07	3.29463e+07	3.00111e+07	3.31103e+07	3.16562e+07	3.05066e+07
Q13151	ROA0_HUMAN	HNRNPA0	Heterogeneous nuclear ribonucleoprotein A0	8.84822e+07	8.8959e+07	9.53719e+07	8.24673e+07	8.82854e+07	9.18221e+07
Q13153	PAK1_HUMAN	PAK1	Serine/threonine-protein kinase PAK 1	1.05044e+07	1.08477e+07	1.11099e+07	9.87443e+06	9.7521e+06	9.2037e+06
Q13155	AIMP2_HUMAN	AIMP2	Aminoacyl tRNA synthase complex-interacting multifunctional protein 2	2.09809e+07	2.12999e+07	2.14561e+07	2.0861e+07	1.99447e+07	2.16084e+07
Q13158	FADD_HUMAN	FADD	FAS-associated death domain protein	3.38837e+06	3.14412e+06	3.18893e+06	3.412e+06	3.71396e+06	3.07709e+06
Q13162	PRDX4_HUMAN	PRDX4	Peroxiredoxin-4	5.85719e+07	6.20892e+07	6.05373e+07	5.62763e+07	5.70788e+07	5.78561e+07
Q13177	PAK2_HUMAN	PAK2	Serine/threonine-protein kinase PAK 2	1.02983e+07	1.01344e+07	9.88321e+06	1.02882e+07	9.91275e+06	9.90855e+06
Q13185	CBX3_HUMAN	CBX3	Chromobox protein homolog 3	1.00527e+08	9.74909e+07	9.54494e+07	9.6547e+07	9.69701e+07	9.6056e+07
Q13188	STK3_HUMAN	STK3	Serine/threonine-protein kinase 3	1.74692e+06	1.89914e+06	2.06922e+06	1.86248e+06	1.91983e+06	1.90564e+06
Q13190	STX5_HUMAN	STX5	Syntaxin-5	3.24582e+06	3.03703e+06	2.69395e+06	2.90778e+06	3.22218e+06	3.1773e+06
Q13200	PSMD2_HUMAN	PSMD2	26S proteasome non-ATPase regulatory subunit 2	2.40311e+07	2.35815e+07	2.354e+07	2.26728e+07	2.3289e+07	2.26309e+07
Q13206	DDX10_HUMAN	DDX10	Probable ATP-dependent RNA helicase DDX10	4.65966e+06	5.11226e+06	5.21842e+06	4.92187e+06	5.7285e+06	5.1749e+06
Q13217	DNJC3_HUMAN	DNAJC3	DnaJ homolog subfamily C member 3	4.39699e+06	4.46903e+06	3.96487e+06	4.00681e+06	4.28678e+06	4.33262e+06
Q13228	SBP1_HUMAN	SELENBP1	Methanethiol oxidase	4.23843e+06	4.58519e+06	4.24906e+06	4.25341e+06	4.5143e+06	4.07118e+06
Q13232	NDK3_HUMAN	NME3	Nucleoside diphosphate kinase 3	4.43414e+07	4.46541e+07	4.28189e+07	2.50967e+07	2.71421e+07	2.74953e+07
Q13242	SRSF9_HUMAN	SRSF9	Serine/arginine-rich splicing factor 9	2.69055e+07	2.69517e+07	2.46301e+07	2.69642e+07	2.56237e+07	2.5673e+07
Q13243	SRSF5_HUMAN	SRSF5	Serine/arginine-rich splicing factor 5	1.07091e+07	1.04239e+07	1.03619e+07	1.08816e+07	1.02604e+07	9.91553e+06
Q13247	SRSF6_HUMAN	SRSF6	Serine/arginine-rich splicing factor 6	1.36354e+08	1.39758e+08	1.31219e+08	1.33972e+08	1.34663e+08	1.29161e+08
Q13257	MD2L1_HUMAN	MAD2L1	Mitotic spindle assembly checkpoint protein MAD2A	7.47173e+06	7.31484e+06	7.75404e+06	8.11892e+06	7.21585e+06	7.42626e+06
Q13263	TIF1B_HUMAN	TRIM28	Transcription intermediary factor 1-beta	3.84667e+07	3.84504e+07	4.04187e+07	3.77333e+07	3.86268e+07	3.8096e+07
Q13277	STX3_HUMAN	STX3	Syntaxin-3	3.49694e+06	3.13136e+06	3.06744e+06	2.72491e+06	3.10419e+06	2.44398e+06
