Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\B20190320yix_KRUK_DIA_b6_15.mzML
Q13938	CAYP1_HUMAN	CAPS	Calcyphosin	5.51951e+07
Q13948	CASP_HUMAN	CUX1	Protein CASP	1.81402e+07
Q13951	PEBB_HUMAN	CBFB	Core-binding factor subunit beta	1.10304e+08
Q13952	NFYC_HUMAN	NFYC	Nuclear transcription factor Y subunit gamma	7.70812e+06
Q13976	KGP1_HUMAN	PRKG1	cGMP-dependent protein kinase 1	2.48651e+07
Q14005	IL16_HUMAN	IL16	Pro-interleukin-16	8.33728e+06
Q14008	CKAP5_HUMAN	CKAP5	Cytoskeleton-associated protein 5	3.85737e+07
Q14011	CIRBP_HUMAN	CIRBP	Cold-inducible RNA-binding protein	1.15114e+08
Q14012	KCC1A_HUMAN	CAMK1	Calcium/calmodulin-dependent protein kinase type 1	3.93229e+06
Q14019	COTL1_HUMAN	COTL1	Coactosin-like protein	1.05161e+08
Q14061	COX17_HUMAN	COX17	Cytochrome c oxidase copper chaperone	4.44185e+06
Q14103	HNRPD_HUMAN	HNRNPD	Heterogeneous nuclear ribonucleoprotein D0	4.02363e+08
Q14108	SCRB2_HUMAN	SCARB2	Lysosome membrane protein 2	4.2707e+07
Q14112	NID2_HUMAN	NID2	Nidogen-2	5.55389e+07
Q14116	IL18_HUMAN	IL18	Interleukin-18	6.07112e+06
Q14118	DAG1_HUMAN	DAG1	Dystroglycan 1	1.39572e+07
Q14126	DSG2_HUMAN	DSG2	Desmoglein-2	1.82625e+08
Q14137	BOP1_HUMAN	BOP1	Ribosome biogenesis protein BOP1	1.21193e+07
Q14139	UBE4A_HUMAN	UBE4A	Ubiquitin conjugation factor E4 A	2.85311e+06
Q14141	SEPT6_HUMAN	SEPTIN6	Septin-6	1.51531e+07
Q14149	MORC3_HUMAN	MORC3	MORC family CW-type zinc finger protein 3	2.56626e+06
Q14151	SAFB2_HUMAN	SAFB2	Scaffold attachment factor B2	2.02419e+07
Q14152	EIF3A_HUMAN	EIF3A	Eukaryotic translation initiation factor 3 subunit A	4.92522e+07
Q14155	ARHG7_HUMAN	ARHGEF7	Rho guanine nucleotide exchange factor 7	9.70687e+06
Q14156	EFR3A_HUMAN	EFR3A	Protein EFR3 homolog A	1.62347e+06
Q14157	UBP2L_HUMAN	UBAP2L	Ubiquitin-associated protein 2-like	2.35655e+07
Q14160	SCRIB_HUMAN	SCRIB	Protein scribble homolog	1.79268e+07
Q14161	GIT2_HUMAN	GIT2	ARF GTPase-activating protein GIT2	8.86901e+06
Q14165	MLEC_HUMAN	MLEC	Malectin	5.0429e+07
Q14166	TTL12_HUMAN	TTLL12	Tubulin--tyrosine ligase-like protein 12	2.093e+07
Q14185	DOCK1_HUMAN	DOCK1	Dedicator of cytokinesis protein 1	3.28952e+08
Q14192	FHL2_HUMAN	FHL2	Four and a half LIM domains protein 2	4.70454e+07
Q14194	DPYL1_HUMAN	CRMP1	Dihydropyrimidinase-related protein 1	2.20376e+06
Q14195	DPYL3_HUMAN	DPYSL3	Dihydropyrimidinase-related protein 3	1.52307e+08
Q14197	ICT1_HUMAN	MRPL58	Large ribosomal subunit protein mL62	8.70746e+06
Q14203	DCTN1_HUMAN	DCTN1	Dynactin subunit 1	2.51853e+07
Q14204	DYHC1_HUMAN	DYNC1H1	Cytoplasmic dynein 1 heavy chain 1	7.56292e+07
Q14232	EI2BA_HUMAN	EIF2B1	Translation initiation factor eIF-2B subunit alpha	8.35784e+06
Q14240	IF4A2_HUMAN	EIF4A2	Eukaryotic initiation factor 4A-II	6.28522e+07
Q14241	ELOA1_HUMAN	ELOA	Elongin-A	1.43019e+07
Q14244	MAP7_HUMAN	MAP7	Ensconsin	1.17968e+07
Q14247	SRC8_HUMAN	CTTN	Src substrate cortactin	6.01393e+07
Q14249	NUCG_HUMAN	ENDOG	Endonuclease G, mitochondrial	5.94326e+06
Q14254	FLOT2_HUMAN	FLOT2	Flotillin-2	3.67665e+07
Q14257	RCN2_HUMAN	RCN2	Reticulocalbin-2	3.16581e+07
Q14258	TRI25_HUMAN	TRIM25	E3 ubiquitin/ISG15 ligase TRIM25	1.69843e+07
Q14315	FLNC_HUMAN	FLNC	Filamin-C	5.60871e+07
Q14318	FKBP8_HUMAN	FKBP8	Peptidyl-prolyl cis-trans isomerase FKBP8	6.11141e+06
Q14320	FA50A_HUMAN	FAM50A	Protein FAM50A	3.14818e+07
Q14331	FRG1_HUMAN	FRG1	Protein FRG1	6.64238e+06
Q14344	GNA13_HUMAN	GNA13	Guanine nucleotide-binding protein subunit alpha-13	2.47376e+07
Q14376	GALE_HUMAN	GALE	UDP-glucose 4-epimerase	3.07167e+07
Q14392	LRC32_HUMAN	LRRC32	Transforming growth factor beta activator LRRC32	3.80278e+07
Q14432	PDE3A_HUMAN	PDE3A	cGMP-inhibited 3',5'-cyclic phosphodiesterase 3A	3.73732e+06
Q14435	GALT3_HUMAN	GALNT3	Polypeptide N-acetylgalactosaminyltransferase 3	2.16993e+07
Q14444	CAPR1_HUMAN	CAPRIN1	Caprin-1	3.83481e+07
Q14451	GRB7_HUMAN	GRB7	Growth factor receptor-bound protein 7	1.64045e+06
Q14498	RBM39_HUMAN	RBM39	RNA-binding protein 39	3.50128e+07
Q14515	SPRL1_HUMAN	SPARCL1	SPARC-like protein 1	1.20306e+06
Q14517	FAT1_HUMAN	FAT1	Protocadherin Fat 1	5.33528e+06
Q14527	HLTF_HUMAN	HLTF	Helicase-like transcription factor	6.21814e+06
Q14554	PDIA5_HUMAN	PDIA5	Protein disulfide-isomerase A5	1.82015e+07
Q14558	KPRA_HUMAN	PRPSAP1	Phosphoribosyl pyrophosphate synthase-associated protein 1	4.74811e+07
Q14562	DHX8_HUMAN	DHX8	ATP-dependent RNA helicase DHX8	3.56458e+06
Q14566	MCM6_HUMAN	MCM6	DNA replication licensing factor MCM6	1.89571e+07
Q14568	HS902_HUMAN	HSP90AA2P	Heat shock protein HSP 90-alpha A2	6.97604e+06
Q14571	ITPR2_HUMAN	ITPR2	Inositol 1,4,5-trisphosphate receptor type 2	3.26083e+06
Q14573	ITPR3_HUMAN	ITPR3	Inositol 1,4,5-trisphosphate receptor type 3	6.91497e+07
Q14624	ITIH4_HUMAN	ITIH4	Inter-alpha-trypsin inhibitor heavy chain H4	2.87205e+07
Q14643	ITPR1_HUMAN	ITPR1	Inositol 1,4,5-trisphosphate receptor type 1	4.74107e+06
Q14651	PLSI_HUMAN	PLS1	Plastin-1	4.80559e+07
Q14653	IRF3_HUMAN	IRF3	Interferon regulatory factor 3	1.24988e+07
Q14657	LAGE3_HUMAN	LAGE3	EKC/KEOPS complex subunit LAGE3	5.31778e+06
Q14669	TRIPC_HUMAN	TRIP12	E3 ubiquitin-protein ligase TRIP12	2.26232e+08
Q14671	PUM1_HUMAN	PUM1	Pumilio homolog 1	1.22554e+07
Q14676	MDC1_HUMAN	MDC1	Mediator of DNA damage checkpoint protein 1	2.19901e+06
Q14677	EPN4_HUMAN	CLINT1	Clathrin interactor 1	3.1026e+07
Q14683	SMC1A_HUMAN	SMC1A	Structural maintenance of chromosomes protein 1A	2.2764e+07
Q14684	RRP1B_HUMAN	RRP1B	Ribosomal RNA processing protein 1 homolog B	1.60093e+07
Q14689	DIP2A_HUMAN	DIP2A	Disco-interacting protein 2 homolog A	7.25517e+06
Q14690	RRP5_HUMAN	PDCD11	Protein RRP5 homolog	1.3189e+07
Q14692	BMS1_HUMAN	BMS1	Ribosome biogenesis protein BMS1 homolog	4.06122e+06
Q14694	UBP10_HUMAN	USP10	Ubiquitin carboxyl-terminal hydrolase 10	1.00216e+07
Q14696	MESD_HUMAN	MESD	LRP chaperone MESD	3.24664e+07
Q14697	GANAB_HUMAN	GANAB	Neutral alpha-glucosidase AB	2.04918e+08
Q14699	RFTN1_HUMAN	RFTN1	Raftlin	1.38366e+07
Q14728	MFS10_HUMAN	MFSD10	Major facilitator superfamily domain-containing protein 10	2.78172e+07
Q14738	2A5D_HUMAN	PPP2R5D	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform	1.17896e+07
Q14739	LBR_HUMAN	LBR	Delta(14)-sterol reductase LBR	5.25479e+07
Q14746	COG2_HUMAN	COG2	Conserved oligomeric Golgi complex subunit 2	3.92949e+06
Q14764	MVP_HUMAN	MVP	Major vault protein	1.90587e+08
Q14766	LTBP1_HUMAN	LTBP1	Latent-transforming growth factor beta-binding protein 1	2.33912e+08
Q14767	LTBP2_HUMAN	LTBP2	Latent-transforming growth factor beta-binding protein 2	1.28242e+08
Q14789	GOGB1_HUMAN	GOLGB1	Golgin subfamily B member 1	2.68336e+07
Q14790	CASP8_HUMAN	CASP8	Caspase-8	7.53224e+06
Q147X3	NAA30_HUMAN	NAA30	N-alpha-acetyltransferase 30	880311
Q14802	FXYD3_HUMAN	FXYD3	FXYD domain-containing ion transport regulator 3	1.17059e+07
Q14807	KIF22_HUMAN	KIF22	Kinesin-like protein KIF22	130994
Q14839	CHD4_HUMAN	CHD4	Chromodomain-helicase-DNA-binding protein 4	3.42933e+07
Q14847	LASP1_HUMAN	LASP1	LIM and SH3 domain protein 1	2.6609e+08
Q14865	ARI5B_HUMAN	ARID5B	AT-rich interactive domain-containing protein 5B	9.7853e+06
Q14894	CRYM_HUMAN	CRYM	Ketimine reductase mu-crystallin	4.26092e+06
Q14914	PTGR1_HUMAN	PTGR1	Prostaglandin reductase 1	1.61538e+07
Q14919	NC2A_HUMAN	DRAP1	Dr1-associated corepressor	8.98523e+06
Q14938	NFIX_HUMAN	NFIX	Nuclear factor 1 X-type	7.98099e+06
Q14956	GPNMB_HUMAN	GPNMB	Transmembrane glycoprotein NMB	3.743e+07
Q14966	ZN638_HUMAN	ZNF638	Zinc finger protein 638	9.96573e+07
Q14974	IMB1_HUMAN	KPNB1	Importin subunit beta-1	6.59717e+07
Q14978	NOLC1_HUMAN	NOLC1	Nucleolar and coiled-body phosphoprotein 1	4.30827e+07
Q14980	NUMA1_HUMAN	NUMA1	Nuclear mitotic apparatus protein 1	7.41336e+07
Q14997	PSME4_HUMAN	PSME4	Proteasome activator complex subunit 4	4.38748e+06
Q14BN4	SLMAP_HUMAN	SLMAP	Sarcolemmal membrane-associated protein	2.75182e+07
Q14C86	GAPD1_HUMAN	GAPVD1	GTPase-activating protein and VPS9 domain-containing protein 1	8.98732e+06
Q14CX7	NAA25_HUMAN	NAA25	N-alpha-acetyltransferase 25, NatB auxiliary subunit	4.56499e+07
Q15003	CND2_HUMAN	NCAPH	Condensin complex subunit 2	6.48665e+06
Q15004	PAF15_HUMAN	PCLAF	PCNA-associated factor	1.36521e+06
Q15005	SPCS2_HUMAN	SPCS2	Signal peptidase complex subunit 2	4.11391e+07
Q15006	EMC2_HUMAN	EMC2	ER membrane protein complex subunit 2	7.46016e+06
Q15007	FL2D_HUMAN	WTAP	Pre-mRNA-splicing regulator WTAP	4.43464e+06
Q15008	PSMD6_HUMAN	PSMD6	26S proteasome non-ATPase regulatory subunit 6	1.65964e+08
Q15014	MO4L2_HUMAN	MORF4L2	Mortality factor 4-like protein 2	1.49742e+06
Q15018	ABRX2_HUMAN	ABRAXAS2	BRISC complex subunit Abraxas 2	5.13063e+07
Q15019	SEPT2_HUMAN	SEPTIN2	Septin-2	1.0601e+08
Q15020	SART3_HUMAN	SART3	Squamous cell carcinoma antigen recognized by T-cells 3	1.78194e+07
Q15021	CND1_HUMAN	NCAPD2	Condensin complex subunit 1	1.17099e+07
Q15024	EXOS7_HUMAN	EXOSC7	Exosome complex component RRP42	3.65031e+06
Q15025	TNIP1_HUMAN	TNIP1	TNFAIP3-interacting protein 1	1.62603e+06
Q15027	ACAP1_HUMAN	ACAP1	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1	1.24718e+08
Q15029	U5S1_HUMAN	EFTUD2	116 kDa U5 small nuclear ribonucleoprotein component	4.39624e+07
Q15031	SYLM_HUMAN	LARS2	Leucine--tRNA ligase, mitochondrial	4.64501e+06
Q15036	SNX17_HUMAN	SNX17	Sorting nexin-17	2.08816e+07
Q15042	RB3GP_HUMAN	RAB3GAP1	Rab3 GTPase-activating protein catalytic subunit	5.55573e+06
Q15043	S39AE_HUMAN	SLC39A14	Metal cation symporter ZIP14	1.21204e+07
Q15046	SYK_HUMAN	KARS1	Lysine--tRNA ligase	4.78945e+07
Q15050	RRS1_HUMAN	RRS1	Ribosome biogenesis regulatory protein homolog	8.4061e+06
Q15052	ARHG6_HUMAN	ARHGEF6	Rho guanine nucleotide exchange factor 6	6.68152e+06
Q15054	DPOD3_HUMAN	POLD3	DNA polymerase delta subunit 3	4.09308e+06
Q15056	IF4H_HUMAN	EIF4H	Eukaryotic translation initiation factor 4H	7.18474e+07
Q15057	ACAP2_HUMAN	ACAP2	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2	9.12654e+06
Q15061	WDR43_HUMAN	WDR43	WD repeat-containing protein 43	7.98902e+06
Q15063	POSTN_HUMAN	POSTN	Periostin	1.38845e+08
Q15067	ACOX1_HUMAN	ACOX1	Peroxisomal acyl-coenzyme A oxidase 1	1.62267e+07
Q15070	OXA1L_HUMAN	OXA1L	Mitochondrial inner membrane protein OXA1L	9.50903e+06
Q15075	EEA1_HUMAN	EEA1	Early endosome antigen 1	1.76168e+07
Q15080	NCF4_HUMAN	NCF4	Neutrophil cytosol factor 4	1.51346e+07
Q15084	PDIA6_HUMAN	PDIA6	Protein disulfide-isomerase A6	2.46964e+08
Q15102	PA1B3_HUMAN	PAFAH1B3	Platelet-activating factor acetylhydrolase IB subunit alpha1	6.34494e+07
Q15113	PCOC1_HUMAN	PCOLCE	Procollagen C-endopeptidase enhancer 1	1.72352e+07
Q15118	PDK1_HUMAN	PDK1	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial	444620
Q15120	PDK3_HUMAN	PDK3	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial	5.67585e+06
Q15121	PEA15_HUMAN	PEA15	Astrocytic phosphoprotein PEA-15	5.32163e+07
Q15124	PGM5_HUMAN	PGM5	Phosphoglucomutase-like protein 5	2.39541e+07
Q15126	PMVK_HUMAN	PMVK	Phosphomevalonate kinase	2.02078e+07
Q15147	PLCB4_HUMAN	PLCB4	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-4	3.1341e+06
Q15149	PLEC_HUMAN	PLEC	Plectin	2.88709e+08
Q15154	PCM1_HUMAN	PCM1	Pericentriolar material 1 protein	7.45372e+06
Q15165	PON2_HUMAN	PON2	Serum paraoxonase/arylesterase 2	3.7e+07
Q15172	2A5A_HUMAN	PPP2R5A	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform	1.47193e+07
Q15181	IPYR_HUMAN	PPA1	Inorganic pyrophosphatase	2.26927e+08
Q15185	TEBP_HUMAN	PTGES3	Prostaglandin E synthase 3	7.90022e+07
Q15208	STK38_HUMAN	STK38	Serine/threonine-protein kinase 38	2.50384e+07
Q15233	NONO_HUMAN	NONO	Non-POU domain-containing octamer-binding protein	1.66626e+08
Q15257	PTPA_HUMAN	PTPA	Serine/threonine-protein phosphatase 2A activator	4.13718e+07
Q15262	PTPRK_HUMAN	PTPRK	Receptor-type tyrosine-protein phosphatase kappa	3.50701e+06
Q15269	PWP2_HUMAN	PWP2	Periodic tryptophan protein 2 homolog	1.05168e+06
Q15276	RABE1_HUMAN	RABEP1	Rab GTPase-binding effector protein 1	8.47205e+06
Q15286	RAB35_HUMAN	RAB35	Ras-related protein Rab-35	2.27222e+07
Q15287	RNPS1_HUMAN	RNPS1	RNA-binding protein with serine-rich domain 1	5.45033e+07
Q15291	RBBP5_HUMAN	RBBP5	Retinoblastoma-binding protein 5	6.58713e+06
Q15293	RCN1_HUMAN	RCN1	Reticulocalbin-1	3.87914e+07
Q15334	L2GL1_HUMAN	LLGL1	Lethal(2) giant larvae protein homolog 1	1.03302e+06
Q15345	LRC41_HUMAN	LRRC41	Leucine-rich repeat-containing protein 41	1.70933e+06
Q15363	TMED2_HUMAN	TMED2	Transmembrane emp24 domain-containing protein 2	4.35527e+07
Q15365	PCBP1_HUMAN	PCBP1	Poly(rC)-binding protein 1	1.8772e+08
Q15366	PCBP2_HUMAN	PCBP2	Poly(rC)-binding protein 2	9.70031e+07
Q15369	ELOC_HUMAN	ELOC	Elongin-C	2.54456e+07
Q15370	ELOB_HUMAN	ELOB	Elongin-B	3.89212e+07
Q15382	RHEB_HUMAN	RHEB	GTP-binding protein Rheb	1.40985e+07
Q15386	UBE3C_HUMAN	UBE3C	Ubiquitin-protein ligase E3C	1.10778e+07
Q15388	TOM20_HUMAN	TOMM20	Mitochondrial import receptor subunit TOM20 homolog	2.8838e+07
Q15393	SF3B3_HUMAN	SF3B3	Splicing factor 3B subunit 3	8.941e+07
Q15397	PUM3_HUMAN	PUM3	Pumilio homolog 3	7.54314e+07
Q15404	RSU1_HUMAN	RSU1	Ras suppressor protein 1	4.41194e+07
Q15417	CNN3_HUMAN	CNN3	Calponin-3	1.72442e+08
Q15418	KS6A1_HUMAN	RPS6KA1	Ribosomal protein S6 kinase alpha-1	3.69027e+06
Q15424	SAFB1_HUMAN	SAFB	Scaffold attachment factor B1	2.59751e+07
Q15427	SF3B4_HUMAN	SF3B4	Splicing factor 3B subunit 4	2.57622e+07
Q15428	SF3A2_HUMAN	SF3A2	Splicing factor 3A subunit 2	2.42416e+07
Q15434	RBMS2_HUMAN	RBMS2	RNA-binding motif, single-stranded-interacting protein 2	1.6668e+07
Q15435	PP1R7_HUMAN	PPP1R7	Protein phosphatase 1 regulatory subunit 7	3.53645e+07
Q15436	SC23A_HUMAN	SEC23A	Protein transport protein Sec23A	3.13029e+07
Q15437	SC23B_HUMAN	SEC23B	Protein transport protein Sec23B	3.08222e+07
Q15438	CYH1_HUMAN	CYTH1	Cytohesin-1	3.70786e+06
Q15459	SF3A1_HUMAN	SF3A1	Splicing factor 3A subunit 1	4.43583e+07
Q15477	SKI2_HUMAN	SKIC2	Superkiller complex protein 2	9.8689e+06
Q15528	MED22_HUMAN	MED22	Mediator of RNA polymerase II transcription subunit 22	429814
Q15542	TAF5_HUMAN	TAF5	Transcription initiation factor TFIID subunit 5	2.47869e+06
Q15545	TAF7_HUMAN	TAF7	Transcription initiation factor TFIID subunit 7	1.16985e+06
Q15554	TERF2_HUMAN	TERF2	Telomeric repeat-binding factor 2	2.49953e+06
Q15555	MARE2_HUMAN	MAPRE2	Microtubule-associated protein RP/EB family member 2	1.79424e+07
Q15582	BGH3_HUMAN	TGFBI	Transforming growth factor-beta-induced protein ig-h3	1.69002e+08
Q15596	NCOA2_HUMAN	NCOA2	Nuclear receptor coactivator 2	3.00279e+06
Q15599	NHRF2_HUMAN	NHERF2	Na(+)/H(+) exchange regulatory cofactor NHE-RF2	1.92875e+07
Q15628	TRADD_HUMAN	TRADD	Tumor necrosis factor receptor type 1-associated DEATH domain protein	1.91942e+07
Q15629	TRAM1_HUMAN	TRAM1	Translocating chain-associated membrane protein 1	2.5745e+06
Q15631	TSN_HUMAN	TSN	Translin	4.82619e+07
Q15637	SF01_HUMAN	SF1	Splicing factor 1	4.0599e+07
Q15642	CIP4_HUMAN	TRIP10	Cdc42-interacting protein 4	1.59636e+07
Q15643	TRIPB_HUMAN	TRIP11	Thyroid receptor-interacting protein 11	5.75719e+06
Q15645	PCH2_HUMAN	TRIP13	Pachytene checkpoint protein 2 homolog	1.92658e+06
Q15648	MED1_HUMAN	MED1	Mediator of RNA polymerase II transcription subunit 1	7.12482e+06
Q15650	TRIP4_HUMAN	TRIP4	Activating signal cointegrator 1	3.38473e+06
Q15651	HMGN3_HUMAN	HMGN3	High mobility group nucleosome-binding domain-containing protein 3	2.15179e+06
Q15653	IKBB_HUMAN	NFKBIB	NF-kappa-B inhibitor beta	2.04103e+07
Q15654	TRIP6_HUMAN	TRIP6	Thyroid receptor-interacting protein 6	1.6561e+07
Q15691	MARE1_HUMAN	MAPRE1	Microtubule-associated protein RP/EB family member 1	9.34959e+07
Q15717	ELAV1_HUMAN	ELAVL1	ELAV-like protein 1	1.30341e+08
Q15738	NSDHL_HUMAN	NSDHL	Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating	1.25373e+07
Q15746	MYLK_HUMAN	MYLK	Myosin light chain kinase, smooth muscle	4.55867e+07
Q15750	TAB1_HUMAN	TAB1	TGF-beta-activated kinase 1 and MAP3K7-binding protein 1	7.54868e+06
Q15758	AAAT_HUMAN	SLC1A5	Neutral amino acid transporter B(0)	2.39384e+07
Q15773	MLF2_HUMAN	MLF2	Myeloid leukemia factor 2	1.24057e+07
Q15785	TOM34_HUMAN	TOMM34	Mitochondrial import receptor subunit TOM34	7.94796e+06
Q15796	SMAD2_HUMAN	SMAD2	Mothers against decapentaplegic homolog 2	8.14918e+06
Q15797	SMAD1_HUMAN	SMAD1	Mothers against decapentaplegic homolog 1	3.55251e+06
Q15811	ITSN1_HUMAN	ITSN1	Intersectin-1	3.03003e+07
Q15813	TBCE_HUMAN	TBCE	Tubulin-specific chaperone E	3.97087e+06
Q15814	TBCC_HUMAN	TBCC	Tubulin-specific chaperone C	1.06038e+07
Q15819	UB2V2_HUMAN	UBE2V2	Ubiquitin-conjugating enzyme E2 variant 2	9.65823e+07
Q15833	STXB2_HUMAN	STXBP2	Syntaxin-binding protein 2	5.04393e+07
Q15836	VAMP3_HUMAN	VAMP3	Vesicle-associated membrane protein 3	3.15999e+07
Q15843	NEDD8_HUMAN	NEDD8	NEDD8	3.83323e+07
Q15847	ADIRF_HUMAN	ADIRF	Adipogenesis regulatory factor	7.72703e+06
Q15853	USF2_HUMAN	USF2	Upstream stimulatory factor 2	2.25117e+06
Q15904	VAS1_HUMAN	ATP6AP1	V-type proton ATPase subunit S1	1.17945e+07
Q15907	RB11B_HUMAN	RAB11B	Ras-related protein Rab-11B	2.27306e+08
Q15942	ZYX_HUMAN	ZYX	Zyxin	7.47875e+07
Q16134	ETFD_HUMAN	ETFDH	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial	2.22095e+06
Q16181	SEPT7_HUMAN	SEPTIN7	Septin-7	1.60335e+08
Q16186	ADRM1_HUMAN	ADRM1	Proteasomal ubiquitin receptor ADRM1	1.709e+07
Q16204	CCDC6_HUMAN	CCDC6	Coiled-coil domain-containing protein 6	4.52182e+07
Q16222	UAP1_HUMAN	UAP1	UDP-N-acetylhexosamine pyrophosphorylase	2.34622e+07
Q16270	IBP7_HUMAN	IGFBP7	Insulin-like growth factor-binding protein 7	3.50747e+07
Q16363	LAMA4_HUMAN	LAMA4	Laminin subunit alpha-4	3.81927e+07
Q16401	PSMD5_HUMAN	PSMD5	26S proteasome non-ATPase regulatory subunit 5	3.55844e+07
Q16512	PKN1_HUMAN	PKN1	Serine/threonine-protein kinase N1	8.21414e+06
Q16513	PKN2_HUMAN	PKN2	Serine/threonine-protein kinase N2	8.98614e+06
Q16527	CSRP2_HUMAN	CSRP2	Cysteine and glycine-rich protein 2	8.95441e+07
Q16531	DDB1_HUMAN	DDB1	DNA damage-binding protein 1	5.71327e+07
Q16537	2A5E_HUMAN	PPP2R5E	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform	2.13858e+07
Q16539	MK14_HUMAN	MAPK14	Mitogen-activated protein kinase 14	1.18382e+07
Q16540	RM23_HUMAN	MRPL23	Large ribosomal subunit protein uL23m	9.05111e+06
Q16543	CDC37_HUMAN	CDC37	Hsp90 co-chaperone Cdc37	3.29939e+07
Q16555	DPYL2_HUMAN	DPYSL2	Dihydropyrimidinase-related protein 2	2.92746e+08
Q16563	SYPL1_HUMAN	SYPL1	Synaptophysin-like protein 1	7.08504e+06
Q16568	CART_HUMAN	CARTPT	Cocaine- and amphetamine-regulated transcript protein	498017
Q16576	RBBP7_HUMAN	RBBP7	Histone-binding protein RBBP7	3.15542e+07
Q16585	SGCB_HUMAN	SGCB	Beta-sarcoglycan	5.55469e+06
Q16610	ECM1_HUMAN	ECM1	Extracellular matrix protein 1	3.29133e+06
Q16611	BAK_HUMAN	BAK1	Bcl-2 homologous antagonist/killer	1.8333e+06
Q16625	OCLN_HUMAN	OCLN	Occludin	4.18887e+06
Q16626	MEA1_HUMAN	MEA1	Male-enhanced antigen 1	2.26168e+06
Q16629	SRSF7_HUMAN	SRSF7	Serine/arginine-rich splicing factor 7	1.05799e+08
Q16630	CPSF6_HUMAN	CPSF6	Cleavage and polyadenylation specificity factor subunit 6	3.42077e+07
Q16637	SMN_HUMAN	SMN1	Survival motor neuron protein	3.84934e+06
Q16643	DREB_HUMAN	DBN1	Drebrin	1.84284e+07
Q16644	MAPK3_HUMAN	MAPKAPK3	MAP kinase-activated protein kinase 3	1.7985e+06
Q16647	PTGIS_HUMAN	PTGIS	Prostacyclin synthase	1.65737e+07
Q16650	TBR1_HUMAN	TBR1	T-box brain protein 1	2.33133e+07
Q16656	NRF1_HUMAN	NRF1	Nuclear respiratory factor 1	8.19391e+06
Q16658	FSCN1_HUMAN	FSCN1	Fascin	9.77063e+07
Q16666	IF16_HUMAN	IFI16	Gamma-interferon-inducible protein 16	1.34757e+08
Q16698	DECR_HUMAN	DECR1	2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial	9.47477e+07
Q16706	MA2A1_HUMAN	MAN2A1	Alpha-mannosidase 2	4.34586e+06
Q16718	NDUA5_HUMAN	NDUFA5	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5	7.57808e+06
Q16740	CLPP_HUMAN	CLPP	ATP-dependent Clp protease proteolytic subunit, mitochondrial	1.40125e+07
Q16762	THTR_HUMAN	TST	Thiosulfate sulfurtransferase	9.21493e+07
Q16763	UBE2S_HUMAN	UBE2S	Ubiquitin-conjugating enzyme E2 S	1.91573e+06
Q16774	KGUA_HUMAN	GUK1	Guanylate kinase	9.78916e+06
Q16775	GLO2_HUMAN	HAGH	Hydroxyacylglutathione hydrolase, mitochondrial	1.48298e+07
Q16777	H2A2C_HUMAN	H2AC20	Histone H2A type 2-C	5.83111e+07
Q16778	H2B2E_HUMAN	H2BC21	Histone H2B type 2-E	7.82039e+08
Q16787	LAMA3_HUMAN	LAMA3	Laminin subunit alpha-3	4.38316e+07
Q16795	NDUA9_HUMAN	NDUFA9	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial	1.7207e+07
Q16798	MAON_HUMAN	ME3	NADP-dependent malic enzyme, mitochondrial	3.17709e+06
Q16822	PCKGM_HUMAN	PCK2	Phosphoenolpyruvate carboxykinase [GTP], mitochondrial	2.29682e+07
Q16831	UPP1_HUMAN	UPP1	Uridine phosphorylase 1	3.91527e+06
Q16836	HCDH_HUMAN	HADH	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial	6.21552e+07
Q16850	CP51A_HUMAN	CYP51A1	Lanosterol 14-alpha demethylase	2.21401e+06
Q16851	UGPA_HUMAN	UGP2	UTP--glucose-1-phosphate uridylyltransferase	5.30484e+07
Q16853	AOC3_HUMAN	AOC3	Membrane primary amine oxidase	5.14833e+07
Q16854	DGUOK_HUMAN	DGUOK	Deoxyguanosine kinase, mitochondrial	2.22626e+06
Q16864	VATF_HUMAN	ATP6V1F	V-type proton ATPase subunit F	2.5799e+07
Q16880	CGT_HUMAN	UGT8	2-hydroxyacylsphingosine 1-beta-galactosyltransferase	3.84808e+06
Q16881	TRXR1_HUMAN	TXNRD1	Thioredoxin reductase 1, cytoplasmic	2.08216e+07
Q16891	MIC60_HUMAN	IMMT	MICOS complex subunit MIC60	5.88113e+07
