Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\A20200127caix_yuanch_TCPA_CA_120min_DIA_09.mzML
Q5VW32	BROX_HUMAN	BROX	BRO1 domain-containing protein BROX	1.15011e+07
Q5VW36	FOCAD_HUMAN	FOCAD	Focadhesin	3.11929e+06
Q5VWJ9	SNX30_HUMAN	SNX30	Sorting nexin-30	7.34701e+06
Q5VWN6	TASO2_HUMAN	TASOR2	Protein TASOR 2	1.69117e+06
Q5VWQ0	RSBN1_HUMAN	RSBN1	Lysine-specific demethylase 9	7.41901e+06
Q5VWZ2	LYPL1_HUMAN	LYPLAL1	Lysophospholipase-like protein 1	4.40596e+06
Q5VYK3	ECM29_HUMAN	ECPAS	Proteasome adapter and scaffold protein ECM29	2.02365e+07
Q5VZ89	DEN4C_HUMAN	DENND4C	DENN domain-containing protein 4C	6.60124e+06
Q5VZE5	NAA35_HUMAN	NAA35	N-alpha-acetyltransferase 35, NatC auxiliary subunit	2.83601e+06
Q5VZK9	CARL1_HUMAN	CARMIL1	F-actin-uncapping protein LRRC16A	1.55581e+07
Q5VZL5	ZMYM4_HUMAN	ZMYM4	Zinc finger MYM-type protein 4	7.11329e+06
Q5W0V3	FHI2A_HUMAN	FHIP2A	FHF complex subunit HOOK interacting protein 2A	9.79574e+06
Q5XKP0	MIC13_HUMAN	MICOS13	MICOS complex subunit MIC13	6.92343e+06
Q5XUX1	FBXW9_HUMAN	FBXW9	F-box/WD repeat-containing protein 9	8.1352e+06
Q63HN8	RN213_HUMAN	RNF213	E3 ubiquitin-protein ligase RNF213	9.5291e+06
Q63HR2	TENS2_HUMAN	TNS2	Tensin-2	1.30692e+06
Q63ZY3	KANK2_HUMAN	KANK2	KN motif and ankyrin repeat domain-containing protein 2	5.26742e+06
Q641Q2	WAC2A_HUMAN	WASHC2A	WASH complex subunit 2A	3.06505e+06
Q643R3	LPCT4_HUMAN	LPCAT4	Lysophospholipid acyltransferase LPCAT4	6.75051e+06
Q658Y4	F91A1_HUMAN	FAM91A1	Protein FAM91A1	1.1006e+07
Q659C4	LAR1B_HUMAN	LARP1B	La-related protein 1B	865999
Q66K14	TBC9B_HUMAN	TBC1D9B	TBC1 domain family member 9B	6.16143e+06
Q66K74	MAP1S_HUMAN	MAP1S	Microtubule-associated protein 1S	3.49251e+07
Q66K79	CBPZ_HUMAN	CPZ	Carboxypeptidase Z	1.4645e+06
Q66LE6	2ABD_HUMAN	PPP2R2D	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform	1.07069e+06
Q66PJ3	AR6P4_HUMAN	ARL6IP4	ADP-ribosylation factor-like protein 6-interacting protein 4	9.3822e+06
Q676U5	A16L1_HUMAN	ATG16L1	Autophagy-related protein 16-1	688107
Q67FW5	B3GNL_HUMAN	B3GNTL1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like protein 1	2.956e+06
Q687X5	STEA4_HUMAN	STEAP4	Metalloreductase STEAP4	2.03373e+06
Q68CP9	ARID2_HUMAN	ARID2	AT-rich interactive domain-containing protein 2	4.99505e+06
Q68CQ4	UTP25_HUMAN	UTP25	U3 small nucleolar RNA-associated protein 25 homolog	9.95385e+06
Q68CQ7	GL8D1_HUMAN	GLT8D1	Glycosyltransferase 8 domain-containing protein 1	2.6153e+06
Q68CZ2	TENS3_HUMAN	TNS3	Tensin-3	2.72929e+06
Q68CZ6	HAUS3_HUMAN	HAUS3	HAUS augmin-like complex subunit 3	737501
Q68D91	MBLC2_HUMAN	MBLAC2	Acyl-coenzyme A thioesterase MBLAC2	6.639e+06
Q68E01	INT3_HUMAN	INTS3	Integrator complex subunit 3	9.6059e+06
Q68EM7	RHG17_HUMAN	ARHGAP17	Rho GTPase-activating protein 17	6.67049e+06
Q69YL0	NCAS2_HUMAN	NCBP2AS2	Protein NCBP2AS2	3.17422e+06
Q69YN2	C19L1_HUMAN	CWF19L1	CWF19-like protein 1	7.13805e+06
Q69YN4	VIR_HUMAN	VIRMA	Protein virilizer homolog	1.27992e+07
Q69YQ0	CYTSA_HUMAN	SPECC1L	Cytospin-A	3.0178e+06
Q6AI08	HEAT6_HUMAN	HEATR6	HEAT repeat-containing protein 6	1.15037e+06
Q6AI12	ANR40_HUMAN	ANKRD40	Ankyrin repeat domain-containing protein 40	4.11205e+06
Q6AZZ1	TRI68_HUMAN	TRIM68	E3 ubiquitin-protein ligase TRIM68	323663
Q6BCY4	NB5R2_HUMAN	CYB5R2	NADH-cytochrome b5 reductase 2	6.34399e+06
Q6BDS2	BLT3A_HUMAN	BLTP3A	Bridge-like lipid transfer protein family member 3A	4.45464e+08
Q6DD88	ATLA3_HUMAN	ATL3	Atlastin-3	8.94508e+06
Q6DKI1	RL7L_HUMAN	RPL7L1	Ribosomal protein uL30-like	1.37127e+07
Q6DKJ4	NXN_HUMAN	NXN	Nucleoredoxin	8.35246e+06
Q6DKK2	TTC19_HUMAN	TTC19	Tetratricopeptide repeat protein 19, mitochondrial	3.41393e+06
Q6DN03	H2B2C_HUMAN	H2BC20P	Putative histone H2B type 2-C	1.75633e+06
Q6DN90	IQEC1_HUMAN	IQSEC1	IQ motif and SEC7 domain-containing protein 1	911059
Q6DT37	MRCKG_HUMAN	CDC42BPG	Serine/threonine-protein kinase MRCK gamma	3.23836e+06
Q6EEV4	GL1AD_HUMAN	POLR2M	DNA-directed RNA polymerase II subunit GRINL1A, isoforms 4/5	6.3194e+06
Q6EMK4	VASN_HUMAN	VASN	Vasorin	4.43057e+06
Q6F5E8	CARL2_HUMAN	CARMIL2	Capping protein, Arp2/3 and myosin-I linker protein 2	1.73104e+06
Q6FI13	H2A2A_HUMAN	H2AC18	Histone H2A type 2-A	1.15611e+10
Q6FI81	CPIN1_HUMAN	CIAPIN1	Anamorsin	2.02516e+07
Q6FIF0	ZFAN6_HUMAN	ZFAND6	AN1-type zinc finger protein 6	1.17221e+06
Q6GMV2	SMYD5_HUMAN	SMYD5	Histone-lysine N-trimethyltransferase SMYD5	6.31094e+06
Q6GMV3	PTRD1_HUMAN	PTRHD1	Putative peptidyl-tRNA hydrolase PTRHD1	1.01736e+07
Q6GQQ9	OTU7B_HUMAN	OTUD7B	OTU domain-containing protein 7B	4.92945e+06
Q6GYQ0	RGPA1_HUMAN	RALGAPA1	Ral GTPase-activating protein subunit alpha-1	2.10513e+06
Q6I9Y2	THOC7_HUMAN	THOC7	THO complex subunit 7 homolog	5.56966e+06
Q6IA69	NADE_HUMAN	NADSYN1	Glutamine-dependent NAD(+) synthetase	2.70477e+06
Q6IA86	ELP2_HUMAN	ELP2	Elongator complex protein 2	7.82856e+06
Q6IAA8	LTOR1_HUMAN	LAMTOR1	Ragulator complex protein LAMTOR1	1.53135e+07
Q6IAN0	DRS7B_HUMAN	DHRS7B	Dehydrogenase/reductase SDR family member 7B	4.63033e+06
Q6IBS0	TWF2_HUMAN	TWF2	Twinfilin-2	3.21298e+07
Q6IC98	GRAM4_HUMAN	GRAMD4	GRAM domain-containing protein 4	1.18958e+06
Q6ICG6	K0930_HUMAN	KIAA0930	Uncharacterized protein KIAA0930	1.39394e+06
Q6IN84	MRM1_HUMAN	MRM1	rRNA methyltransferase 1, mitochondrial	8.64542e+06
Q6IN85	P4R3A_HUMAN	PPP4R3A	Serine/threonine-protein phosphatase 4 regulatory subunit 3A	6.66465e+06
Q6IPR1	ETFR1_HUMAN	ETFRF1	Electron transfer flavoprotein regulatory factor 1	1.35481e+06
Q6IQ22	RAB12_HUMAN	RAB12	Ras-related protein Rab-12	3.76914e+06
Q6IQ26	DEN5A_HUMAN	DENND5A	DENN domain-containing protein 5A	3.21673e+06
Q6IQ49	SDE2_HUMAN	SDE2	Splicing regulator SDE2	3.44216e+06
Q6ISB3	GRHL2_HUMAN	GRHL2	Grainyhead-like protein 2 homolog	8.39981e+06
Q6JQN1	ACD10_HUMAN	ACAD10	Acyl-CoA dehydrogenase family member 10	1.72509e+07
Q6KB66	K2C80_HUMAN	KRT80	Keratin, type II cytoskeletal 80	7.60833e+07
Q6KC79	NIPBL_HUMAN	NIPBL	Nipped-B-like protein	4.70822e+06
Q6KCM7	SCMC2_HUMAN	SLC25A25	Mitochondrial adenyl nucleotide antiporter SLC25A25	5.24834e+06
Q6L8Q7	PDE12_HUMAN	PDE12	2',5'-phosphodiesterase 12	9.16322e+06
Q6MZT1	R7BP_HUMAN	RGS7BP	Regulator of G-protein signaling 7-binding protein	2.77893e+06
Q6MZZ7	CAN13_HUMAN	CAPN13	Calpain-13	2.75489e+06
Q6NSJ0	MYORG_HUMAN	MYORG	Myogenesis-regulating glycosidase	1.52714e+07
Q6NUJ5	PWP2B_HUMAN	PWWP2B	PWWP domain-containing protein 2B	1.42455e+06
Q6NUK1	SCMC1_HUMAN	SLC25A24	Mitochondrial adenyl nucleotide antiporter SLC25A24	4.17878e+07
Q6NUQ4	TM214_HUMAN	TMEM214	Transmembrane protein 214	4.37743e+06
Q6NVY1	HIBCH_HUMAN	HIBCH	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial	2.37568e+07
Q6NW34	NEPRO_HUMAN	NEPRO	Nucleolus and neural progenitor protein	1.36864e+06
Q6NWY9	PR40B_HUMAN	PRPF40B	Pre-mRNA-processing factor 40 homolog B	1.83995e+06
Q6NXE6	ARMC6_HUMAN	ARMC6	Armadillo repeat-containing protein 6	8.5439e+07
Q6NXG1	ESRP1_HUMAN	ESRP1	Epithelial splicing regulatory protein 1	2.86946e+07
Q6NXR4	TTI2_HUMAN	TTI2	TELO2-interacting protein 2	4.4535e+06
Q6NY19	KANK3_HUMAN	KANK3	KN motif and ankyrin repeat domain-containing protein 3	9.52374e+07
Q6NYC1	JMJD6_HUMAN	JMJD6	Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6	8.60746e+06
Q6NYC8	PPR18_HUMAN	PPP1R18	Phostensin	2.61092e+06
Q6NZ67	MZT2B_HUMAN	MZT2B	Mitotic-spindle organizing protein 2B	7.7592e+06
Q6NZI2	CAVN1_HUMAN	CAVIN1	Caveolae-associated protein 1	1.07995e+07
Q6NZY4	ZCHC8_HUMAN	ZCCHC8	Zinc finger CCHC domain-containing protein 8	1.34785e+07
Q6P087	RUSD3_HUMAN	RPUSD3	Mitochondrial mRNA pseudouridine synthase RPUSD3	2.8117e+06
Q6P158	DHX57_HUMAN	DHX57	Putative ATP-dependent RNA helicase DHX57	8.7183e+06
Q6P161	RM54_HUMAN	MRPL54	Large ribosomal subunit protein mL54	9.0323e+06
Q6P179	ERAP2_HUMAN	ERAP2	Endoplasmic reticulum aminopeptidase 2	4.45687e+06
Q6P1J9	CDC73_HUMAN	CDC73	Parafibromin	2.93311e+07
Q6P1K2	PMF1_HUMAN	PMF1	Polyamine-modulated factor 1	4.10316e+06
Q6P1L5	F117B_HUMAN	FAM117B	Protein FAM117B	970645
Q6P1L8	RM14_HUMAN	MRPL14	Large ribosomal subunit protein uL14m	8.60506e+06
Q6P1M0	S27A4_HUMAN	SLC27A4	Long-chain fatty acid transport protein 4	2.41844e+06
Q6P1M3	L2GL2_HUMAN	LLGL2	LLGL scribble cell polarity complex component 2	5.78614e+06
Q6P1N0	C2D1A_HUMAN	CC2D1A	Coiled-coil and C2 domain-containing protein 1A	1.29808e+07
Q6P1N9	TATD1_HUMAN	TATDN1	Deoxyribonuclease TATDN1	1.13451e+07
Q6P1Q0	LTMD1_HUMAN	LETMD1	LETM1 domain-containing protein 1	2.06356e+06
Q6P1Q9	MET2B_HUMAN	METTL2B	tRNA N(3)-methylcytidine methyltransferase METTL2B	1.35754e+06
Q6P1R4	DUS1L_HUMAN	DUS1L	tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)]-like	3.624e+06
Q6P1X5	TAF2_HUMAN	TAF2	Transcription initiation factor TFIID subunit 2	3.15263e+06
Q6P1X6	CH082_HUMAN	C8orf82	UPF0598 protein C8orf82	2.92928e+07
Q6P2C8	MED27_HUMAN	MED27	Mediator of RNA polymerase II transcription subunit 27	2.00772e+06
Q6P2E9	EDC4_HUMAN	EDC4	Enhancer of mRNA-decapping protein 4	1.86121e+07
Q6P2Q9	PRP8_HUMAN	PRPF8	Pre-mRNA-processing-splicing factor 8	5.21169e+07
Q6P3W7	SCYL2_HUMAN	SCYL2	SCY1-like protein 2	4.12285e+06
Q6P3X3	TTC27_HUMAN	TTC27	Tetratricopeptide repeat protein 27	7.49899e+06
Q6P4A7	SFXN4_HUMAN	SFXN4	Sideroflexin-4	3.7626e+06
Q6P4A8	PLBL1_HUMAN	PLBD1	Phospholipase B-like 1	1.56845e+06
Q6P4E1	GOLM2_HUMAN	GOLM2	Protein GOLM2	2.23421e+06
Q6P4F2	FDX2_HUMAN	FDX2	Ferredoxin-2, mitochondrial	3.99365e+06
Q6P4I2	WDR73_HUMAN	WDR73	WD repeat-containing protein 73	4.6744e+06
Q6P4R8	NFRKB_HUMAN	NFRKB	Nuclear factor related to kappa-B-binding protein	6.08416e+06
Q6P587	FAHD1_HUMAN	FAHD1	Acylpyruvase FAHD1, mitochondrial	4.67647e+06
Q6P6B7	ANR16_HUMAN	ANKRD16	Ankyrin repeat domain-containing protein 16	708006
Q6P6C2	ALKB5_HUMAN	ALKBH5	RNA demethylase ALKBH5	4.36288e+06
Q6P996	PDXD1_HUMAN	PDXDC1	Pyridoxal-dependent decarboxylase domain-containing protein 1	3.97331e+07
Q6P9B6	MEAK7_HUMAN	MEAK7	MTOR-associated protein MEAK7	6.21142e+06
Q6P9B9	INT5_HUMAN	INTS5	Integrator complex subunit 5	5.08834e+06
Q6PCB0	VWA1_HUMAN	VWA1	von Willebrand factor A domain-containing protein 1	8.91914e+06
Q6PCB5	RSBNL_HUMAN	RSBN1L	Lysine-specific demethylase RSBN1L	1.56048e+06
Q6PCB6	AB17C_HUMAN	ABHD17C	Alpha/beta hydrolase domain-containing protein 17C	476747
Q6PCB7	S27A1_HUMAN	SLC27A1	Long-chain fatty acid transport protein 1	590286
Q6PCE3	PGM2L_HUMAN	PGM2L1	Glucose 1,6-bisphosphate synthase	5.00463e+07
Q6PD62	CTR9_HUMAN	CTR9	RNA polymerase-associated protein CTR9 homolog	1.58882e+07
Q6PD74	AAGAB_HUMAN	AAGAB	Alpha- and gamma-adaptin-binding protein p34	2.84245e+06
Q6PGP7	SKI3_HUMAN	SKIC3	Superkiller complex protein 3	5.0934e+06
Q6PI48	SYDM_HUMAN	DARS2	Aspartate--tRNA ligase, mitochondrial	3.49264e+07
Q6PI78	TMM65_HUMAN	TMEM65	Transmembrane protein 65	1.39236e+07
Q6PI98	IN80C_HUMAN	INO80C	INO80 complex subunit C	3.45408e+06
Q6PIU2	NCEH1_HUMAN	NCEH1	Neutral cholesterol ester hydrolase 1	2.11808e+06
Q6PJ69	TRI65_HUMAN	TRIM65	E3 ubiquitin-protein ligase TRIM65	5.84678e+06
Q6PJG2	MDEAS_HUMAN	MIDEAS	Mitotic deacetylase-associated SANT domain protein	7.03978e+06
Q6PJG6	BRAT1_HUMAN	BRAT1	BRCA1-associated ATM activator 1	2.24388e+06
Q6PJT7	ZC3HE_HUMAN	ZC3H14	Zinc finger CCCH domain-containing protein 14	1.2078e+07
Q6PK04	CC137_HUMAN	CCDC137	Coiled-coil domain-containing protein 137	3.47308e+07
Q6PK18	OGFD3_HUMAN	OGFOD3	2-oxoglutarate and iron-dependent oxygenase domain-containing protein 3	624632
Q6PKG0	LARP1_HUMAN	LARP1	La-related protein 1	2.61976e+07
Q6PL18	ATAD2_HUMAN	ATAD2	ATPase family AAA domain-containing protein 2	2.52537e+06
Q6PML9	ZNT9_HUMAN	SLC30A9	Proton-coupled zinc antiporter SLC30A9, mitochondrial	4.02886e+06
Q6QNY0	BL1S3_HUMAN	BLOC1S3	Biogenesis of lysosome-related organelles complex 1 subunit 3	7.6674e+06
Q6QNY1	BL1S2_HUMAN	BLOC1S2	Biogenesis of lysosome-related organelles complex 1 subunit 2	4.04605e+06
Q6RFH5	WDR74_HUMAN	WDR74	WD repeat-containing protein 74	7.17697e+06
Q6RW13	ATRAP_HUMAN	AGTRAP	Type-1 angiotensin II receptor-associated protein	3.18652e+06
Q6SPF0	SAMD1_HUMAN	SAMD1	Sterile alpha motif domain-containing protein 1	3.63432e+06
Q6STE5	SMRD3_HUMAN	SMARCD3	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 3	262659
Q6T4R5	NHS_HUMAN	NHS	Actin remodeling regulator NHS	1.87847e+06
Q6UB28	MAP12_HUMAN	METAP1D	Methionine aminopeptidase 1D, mitochondrial	9.56951e+06
Q6UB35	C1TM_HUMAN	MTHFD1L	Monofunctional C1-tetrahydrofolate synthase, mitochondrial	2.82114e+07
Q6ULP2	AFTIN_HUMAN	AFTPH	Aftiphilin	2.05527e+06
Q6UN15	FIP1_HUMAN	FIP1L1	Pre-mRNA 3'-end-processing factor FIP1	1.5231e+07
Q6UUV7	CRTC3_HUMAN	CRTC3	CREB-regulated transcription coactivator 3	655224
Q6UUV9	CRTC1_HUMAN	CRTC1	CREB-regulated transcription coactivator 1	9.05913e+06
Q6UVJ0	SAS6_HUMAN	SASS6	Spindle assembly abnormal protein 6 homolog	1.74801e+06
Q6UVK1	CSPG4_HUMAN	CSPG4	Chondroitin sulfate proteoglycan 4	9.27739e+06
Q6UW02	CP20A_HUMAN	CYP20A1	Cytochrome P450 20A1	1.49143e+06
Q6UW56	ARAID_HUMAN	ATRAID	All-trans retinoic acid-induced differentiation factor	1.76781e+06
Q6UW68	TM205_HUMAN	TMEM205	Transmembrane protein 205	1.35004e+07
Q6UWE0	LRSM1_HUMAN	LRSAM1	E3 ubiquitin-protein ligase LRSAM1	417723
Q6UWP2	DHR11_HUMAN	DHRS11	Dehydrogenase/reductase SDR family member 11	1.27584e+06
Q6UWP7	LCLT1_HUMAN	LCLAT1	Lysocardiolipin acyltransferase 1	7.50612e+06
Q6UWY5	OLFL1_HUMAN	OLFML1	Olfactomedin-like protein 1	1.96573e+06
Q6UX04	CWC27_HUMAN	CWC27	Spliceosome-associated protein CWC27 homolog	9.01804e+06
Q6UX06	OLFM4_HUMAN	OLFM4	Olfactomedin-4	4.52543e+06
Q6UX07	DHR13_HUMAN	DHRS13	Dehydrogenase/reductase SDR family member 13	811159
Q6UX53	TMT1B_HUMAN	TMT1B	Thiol S-methyltransferase TMT1B	6.05739e+06
Q6UX71	PXDC2_HUMAN	PLXDC2	Plexin domain-containing protein 2	3.77923e+06
Q6UXG2	ELAP1_HUMAN	ELAPOR1	Endosome/lysosome-associated apoptosis and autophagy regulator 1	8.3144e+06
Q6UXG8	BTNL9_HUMAN	BTNL9	Butyrophilin-like protein 9	804051
Q6UXN9	WDR82_HUMAN	WDR82	WD repeat-containing protein 82	1.63588e+07
Q6UXV4	MIC27_HUMAN	APOOL	MICOS complex subunit MIC27	2.50424e+06
Q6VMQ6	MCAF1_HUMAN	ATF7IP	Activating transcription factor 7-interacting protein 1	7.42387e+06
Q6VN20	RBP10_HUMAN	RANBP10	Ran-binding protein 10	3.20281e+06
Q6VY07	PACS1_HUMAN	PACS1	Phosphofurin acidic cluster sorting protein 1	9.37993e+06
Q6WCQ1	MPRIP_HUMAN	MPRIP	Myosin phosphatase Rho-interacting protein	4.88534e+06
Q6WKZ4	RFIP1_HUMAN	RAB11FIP1	Rab11 family-interacting protein 1	2.03226e+06
Q6XQN6	PNCB_HUMAN	NAPRT	Nicotinate phosphoribosyltransferase	8.42997e+06
Q6Y288	B3GLT_HUMAN	B3GLCT	Beta-1,3-glucosyltransferase	513168
Q6Y7W6	GGYF2_HUMAN	GIGYF2	GRB10-interacting GYF protein 2	6.33054e+07
Q6YHK3	CD109_HUMAN	CD109	CD109 antigen	6.3796e+06
Q6YHU6	THADA_HUMAN	THADA	tRNA (32-2'-O)-methyltransferase regulator THADA	1.39482e+06
Q6YN16	HSDL2_HUMAN	HSDL2	Hydroxysteroid dehydrogenase-like protein 2	8.66399e+06
Q6YP21	KAT3_HUMAN	KYAT3	Kynurenine--oxoglutarate transaminase 3	8.67581e+06
Q6ZMI0	PPR21_HUMAN	PPP1R21	Protein phosphatase 1 regulatory subunit 21	6.15906e+06
Q6ZMK1				1.90932e+06
Q6ZMZ3	SYNE3_HUMAN	SYNE3	Nesprin-3	8.91273e+07
Q6ZN17	LN28B_HUMAN	LIN28B	Protein lin-28 homolog B	2.93561e+06
Q6ZN30	BNC2_HUMAN	BNC2	Zinc finger protein basonuclin-2	8.85754e+06
Q6ZNB6	NFXL1_HUMAN	NFXL1	NF-X1-type zinc finger protein NFXL1	3.72012e+06
Q6ZNJ1	NBEL2_HUMAN	NBEAL2	Neurobeachin-like protein 2	2.57633e+06
Q6ZNW5	GDPP1_HUMAN	GDPGP1	GDP-D-glucose phosphorylase 1	1.95727e+06
Q6ZRP7	QSOX2_HUMAN	QSOX2	Sulfhydryl oxidase 2	3.47856e+06
Q6ZRS2	SRCAP_HUMAN	SRCAP	Helicase SRCAP	3.69978e+06
Q6ZRV2	FA83H_HUMAN	FAM83H	Protein FAM83H	2.41591e+06
Q6ZS17	RIPR1_HUMAN	RIPOR1	Rho family-interacting cell polarization regulator 1	916396
Q6ZS86	GLPK5_HUMAN	GK5	Putative glycerol kinase 5	1.04566e+06
Q6ZSJ8	CA122_HUMAN	C1orf122	Uncharacterized protein C1orf122	5.17403e+06
Q6ZSR9	YJ005_HUMAN		Uncharacterized protein FLJ45252	1.98545e+06
Q6ZSZ5	ARHGI_HUMAN	ARHGEF18	Rho guanine nucleotide exchange factor 18	4.54777e+07
Q6ZSZ6	TSH1_HUMAN	TSHZ1	Teashirt homolog 1	1.24283e+06
Q6ZT12	UBR3_HUMAN	UBR3	E3 ubiquitin-protein ligase UBR3	1.58891e+06
Q6ZT21	TMPPE_HUMAN	TMPPE	Transmembrane protein with metallophosphoesterase domain	1.01652e+06
Q6ZT62	BGIN_HUMAN	BARGIN	Bargin	2.83701e+06
Q6ZTI6	RFLA_HUMAN	RFLNA	Refilin-A	884015
Q6ZU65	UBN2_HUMAN	UBN2	Ubinuclein-2	1.36509e+07
Q6ZUM4	RHG27_HUMAN	ARHGAP27	Rho GTPase-activating protein 27	2.40572e+06
Q6ZVM7	TM1L2_HUMAN	TOM1L2	TOM1-like protein 2	2.70572e+06
Q6ZW49	PAXI1_HUMAN	PAXIP1	PAX-interacting protein 1	3.44214e+06
Q6ZXV5	TMTC3_HUMAN	TMTC3	Protein O-mannosyl-transferase TMTC3	1.55388e+06
Q709C8	VP13C_HUMAN	VPS13C	Intermembrane lipid transfer protein VPS13C	4.70505e+06
Q709F0	ACD11_HUMAN	ACAD11	Acyl-CoA dehydrogenase family member 11	4.01833e+06
Q70CQ2	UBP34_HUMAN	USP34	Ubiquitin carboxyl-terminal hydrolase 34	1.56249e+06
Q70E73	RAPH1_HUMAN	RAPH1	Ras-associated and pleckstrin homology domains-containing protein 1	995629
Q70EL1	UBP54_HUMAN	USP54	Inactive ubiquitin carboxyl-terminal hydrolase 54	1.65174e+06
Q70IA6	MOB2_HUMAN	MOB2	MOB kinase activator 2	2.01521e+06
Q70J99	UN13D_HUMAN	UNC13D	Protein unc-13 homolog D	570533
Q70UQ0	IKIP_HUMAN	IKBIP	Inhibitor of nuclear factor kappa-B kinase-interacting protein	2.5568e+06
Q70Z35	PREX2_HUMAN	PREX2	Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 2 protein	644366
Q70Z53	F10C1_HUMAN	FRA10AC1	Protein FRA10AC1	7.49652e+06
Q712K3	UB2R2_HUMAN	UBE2R2	Ubiquitin-conjugating enzyme E2 R2	1.99149e+07
Q719H9	KCTD1_HUMAN	KCTD1	BTB/POZ domain-containing protein KCTD1	1.89457e+06
Q71DI3	H32_HUMAN	H3C15	Histone H3.2	5.84723e+06
Q71RC2	LARP4_HUMAN	LARP4	La-related protein 4	9.81376e+06
Q71SY5	MED25_HUMAN	MED25	Mediator of RNA polymerase II transcription subunit 25	2.45804e+06
Q71U36	TBA1A_HUMAN	TUBA1A	Tubulin alpha-1A chain	4.18336e+07
Q71UM5	RS27L_HUMAN	RPS27L	Ribosomal protein eS27-like	2.64033e+07
Q75N03	HAKAI_HUMAN	CBLL1	E3 ubiquitin-protein ligase Hakai	1.38636e+06
Q75QN2	INT8_HUMAN	INTS8	Integrator complex subunit 8	4.81538e+06
Q76L83	ASXL2_HUMAN	ASXL2	Putative Polycomb group protein ASXL2	1.69266e+06
Q76M96	CCD80_HUMAN	CCDC80	Coiled-coil domain-containing protein 80	948475
Q7KYR7	BT2A1_HUMAN	BTN2A1	Butyrophilin subfamily 2 member A1	1.59426e+06
Q7KZ85	SPT6H_HUMAN	SUPT6H	Transcription elongation factor SPT6	3.53417e+07
Q7KZF4	SND1_HUMAN	SND1	Staphylococcal nuclease domain-containing protein 1	7.63085e+07
Q7KZI7	MARK2_HUMAN	MARK2	Serine/threonine-protein kinase MARK2	4.14462e+06
Q7KZN9	COX15_HUMAN	COX15	Cytochrome c oxidase assembly protein COX15 homolog	1.83921e+06
Q7L014	DDX46_HUMAN	DDX46	Probable ATP-dependent RNA helicase DDX46	5.96781e+07
Q7L099	RUFY3_HUMAN	RUFY3	Protein RUFY3	5.6332e+06
Q7L0J3	SV2A_HUMAN	SV2A	Synaptic vesicle glycoprotein 2A	1.94999e+07
Q7L0Y3	TM10C_HUMAN	TRMT10C	tRNA methyltransferase 10 homolog C	1.97348e+07
Q7L1Q6	5MP2_HUMAN	BZW1	eIF5-mimic protein 2	2.22322e+07
Q7L266	ASGL1_HUMAN	ASRGL1	Isoaspartyl peptidase/L-asparaginase	1.2584e+07
Q7L2E3	DHX30_HUMAN	DHX30	ATP-dependent RNA helicase DHX30	1.90488e+08
Q7L2H7	EIF3M_HUMAN	EIF3M	Eukaryotic translation initiation factor 3 subunit M	5.03382e+07
Q7L2J0	MEPCE_HUMAN	MEPCE	7SK snRNA methylphosphate capping enzyme	7.086e+06
Q7L311	ARMX2_HUMAN	ARMCX2	Armadillo repeat-containing X-linked protein 2	3.10335e+06
Q7L3T8	SYPM_HUMAN	PARS2	Probable proline--tRNA ligase, mitochondrial	6.04098e+06
Q7L4I2	RSRC2_HUMAN	RSRC2	Arginine/serine-rich coiled-coil protein 2	1.86453e+07
Q7L523	RRAGA_HUMAN	RRAGA	Ras-related GTP-binding protein A	1.03713e+07
Q7L576	CYFP1_HUMAN	CYFIP1	Cytoplasmic FMR1-interacting protein 1	6.2365e+07
Q7L592	NDUF7_HUMAN	NDUFAF7	Protein arginine methyltransferase NDUFAF7, mitochondrial	1.74911e+06
Q7L5D6	GET4_HUMAN	GET4	Golgi to ER traffic protein 4 homolog	6.33714e+06
Q7L5N1	CSN6_HUMAN	COPS6	COP9 signalosome complex subunit 6	2.5545e+07
Q7L5N7	PCAT2_HUMAN	LPCAT2	Lysophosphatidylcholine acyltransferase 2	3.98387e+06
Q7L5Y1	ENOF1_HUMAN	ENOSF1	Mitochondrial enolase superfamily member 1	550462
Q7L5Y9	MAEA_HUMAN	MAEA	E3 ubiquitin-protein transferase MAEA	2.6217e+06
Q7L7V1	DHX32_HUMAN	DHX32	Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX32	1.82212e+06
Q7L7X3	TAOK1_HUMAN	TAOK1	Serine/threonine-protein kinase TAO1	4.34349e+06
Q7L8L6	FAKD5_HUMAN	FASTKD5	FAST kinase domain-containing protein 5, mitochondrial	5.2552e+06
Q7L8W6	DPH6_HUMAN	DPH6	Diphthine--ammonia ligase	1.35052e+06
Q7L9B9	EEPD1_HUMAN	EEPD1	Endonuclease/exonuclease/phosphatase family domain-containing protein 1	768296
