Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\DIArt_model\human\A20200127caix_yuanch_TCPA_CA_120min_DIA_10.mzML
Q6PCB7	S27A1_HUMAN	SLC27A1	Long-chain fatty acid transport protein 1	1.43184e+06
Q6PCE3	PGM2L_HUMAN	PGM2L1	Glucose 1,6-bisphosphate synthase	4.73565e+07
Q6PD62	CTR9_HUMAN	CTR9	RNA polymerase-associated protein CTR9 homolog	2.5923e+06
Q6PGP7	SKI3_HUMAN	SKIC3	Superkiller complex protein 3	3.91104e+06
Q6PI48	SYDM_HUMAN	DARS2	Aspartate--tRNA ligase, mitochondrial	8.18367e+06
Q6PI78	TMM65_HUMAN	TMEM65	Transmembrane protein 65	2.87172e+06
Q6PI98	IN80C_HUMAN	INO80C	INO80 complex subunit C	1.08465e+06
Q6PIU2	NCEH1_HUMAN	NCEH1	Neutral cholesterol ester hydrolase 1	4.57928e+06
Q6PJ69	TRI65_HUMAN	TRIM65	E3 ubiquitin-protein ligase TRIM65	2.60852e+06
Q6PJG2	MDEAS_HUMAN	MIDEAS	Mitotic deacetylase-associated SANT domain protein	1.24355e+07
Q6PJG6	BRAT1_HUMAN	BRAT1	BRCA1-associated ATM activator 1	1.29412e+06
Q6PJI9	WDR59_HUMAN	WDR59	GATOR complex protein WDR59	2.14359e+06
Q6PJT7	ZC3HE_HUMAN	ZC3H14	Zinc finger CCCH domain-containing protein 14	3.8419e+06
Q6PKG0	LARP1_HUMAN	LARP1	La-related protein 1	9.70104e+06
Q6PL18	ATAD2_HUMAN	ATAD2	ATPase family AAA domain-containing protein 2	1.92922e+06
Q6PL24	TMED8_HUMAN	TMED8	Protein TMED8	1.9351e+06
Q6PML9	ZNT9_HUMAN	SLC30A9	Proton-coupled zinc antiporter SLC30A9, mitochondrial	1.1249e+06
Q6QNY0	BL1S3_HUMAN	BLOC1S3	Biogenesis of lysosome-related organelles complex 1 subunit 3	9.85983e+06
Q6QNY1	BL1S2_HUMAN	BLOC1S2	Biogenesis of lysosome-related organelles complex 1 subunit 2	4.9896e+06
Q6R327	RICTR_HUMAN	RICTOR	Rapamycin-insensitive companion of mTOR	5.49432e+06
Q6RFH5	WDR74_HUMAN	WDR74	WD repeat-containing protein 74	1.36132e+06
Q6RW13	ATRAP_HUMAN	AGTRAP	Type-1 angiotensin II receptor-associated protein	2.961e+06
Q6SPF0	SAMD1_HUMAN	SAMD1	Sterile alpha motif domain-containing protein 1	4.52481e+06
Q6SZW1	SARM1_HUMAN	SARM1	NAD(+) hydrolase SARM1	338158
Q6UB35	C1TM_HUMAN	MTHFD1L	Monofunctional C1-tetrahydrofolate synthase, mitochondrial	5.10197e+06
Q6ULP2	AFTIN_HUMAN	AFTPH	Aftiphilin	1.04078e+06
Q6UN15	FIP1_HUMAN	FIP1L1	Pre-mRNA 3'-end-processing factor FIP1	9.61903e+06
Q6UUV7	CRTC3_HUMAN	CRTC3	CREB-regulated transcription coactivator 3	2.65722e+06
Q6UVK1	CSPG4_HUMAN	CSPG4	Chondroitin sulfate proteoglycan 4	9.46869e+06
Q6UVY6	MOXD1_HUMAN	MOXD1	DBH-like monooxygenase protein 1	1.68374e+06
Q6UW02	CP20A_HUMAN	CYP20A1	Cytochrome P450 20A1	1.93431e+06
Q6UW63	PLGT2_HUMAN	POGLUT2	Protein O-glucosyltransferase 2	4.2108e+06
Q6UW68	TM205_HUMAN	TMEM205	Transmembrane protein 205	1.89345e+07
Q6UWE0	LRSM1_HUMAN	LRSAM1	E3 ubiquitin-protein ligase LRSAM1	1.70688e+06
Q6UWP7	LCLT1_HUMAN	LCLAT1	Lysocardiolipin acyltransferase 1	8.46477e+06
Q6UWP8	SBSN_HUMAN	SBSN	Suprabasin	545357
Q6UWY5	OLFL1_HUMAN	OLFML1	Olfactomedin-like protein 1	1.15394e+07
Q6UX71	PXDC2_HUMAN	PLXDC2	Plexin domain-containing protein 2	9.01132e+06
Q6UXN9	WDR82_HUMAN	WDR82	WD repeat-containing protein 82	1.12521e+07
Q6VN20	RBP10_HUMAN	RANBP10	Ran-binding protein 10	2.1308e+06
Q6VY07	PACS1_HUMAN	PACS1	Phosphofurin acidic cluster sorting protein 1	2.12174e+07
Q6WCQ1	MPRIP_HUMAN	MPRIP	Myosin phosphatase Rho-interacting protein	4.79791e+06
Q6WKZ4	RFIP1_HUMAN	RAB11FIP1	Rab11 family-interacting protein 1	3.54173e+06
Q6XQN6	PNCB_HUMAN	NAPRT	Nicotinate phosphoribosyltransferase	9.67205e+06
Q6XZF7	DNMBP_HUMAN	DNMBP	Dynamin-binding protein	579852
Q6Y288	B3GLT_HUMAN	B3GLCT	Beta-1,3-glucosyltransferase	737909
Q6Y7W6	GGYF2_HUMAN	GIGYF2	GRB10-interacting GYF protein 2	3.5291e+06
Q6YHK3	CD109_HUMAN	CD109	CD109 antigen	1.3578e+07
Q6YHU6	THADA_HUMAN	THADA	tRNA (32-2'-O)-methyltransferase regulator THADA	1.26126e+06
Q6YN16	HSDL2_HUMAN	HSDL2	Hydroxysteroid dehydrogenase-like protein 2	1.66086e+07
Q6YP21	KAT3_HUMAN	KYAT3	Kynurenine--oxoglutarate transaminase 3	1.12124e+07
Q6ZMI0	PPR21_HUMAN	PPP1R21	Protein phosphatase 1 regulatory subunit 21	7.05629e+06
Q6ZMR5	TM11A_HUMAN	TMPRSS11A	Transmembrane protease serine 11A	7.15047e+06
Q6ZMZ3	SYNE3_HUMAN	SYNE3	Nesprin-3	2.06594e+06
Q6ZN66	GBP6_HUMAN	GBP6	Guanylate-binding protein 6	2.58882e+07
Q6ZNJ1	NBEL2_HUMAN	NBEAL2	Neurobeachin-like protein 2	4.52492e+06
Q6ZNW5	GDPP1_HUMAN	GDPGP1	GDP-D-glucose phosphorylase 1	2.02161e+06
Q6ZPD9	D19L3_HUMAN	DPY19L3	Probable C-mannosyltransferase DPY19L3	3.8582e+06
Q6ZRS2	SRCAP_HUMAN	SRCAP	Helicase SRCAP	1.16559e+06
Q6ZRV2	FA83H_HUMAN	FAM83H	Protein FAM83H	9.78576e+06
Q6ZS17	RIPR1_HUMAN	RIPOR1	Rho family-interacting cell polarization regulator 1	1.02927e+06
Q6ZS81	WDFY4_HUMAN	WDFY4	WD repeat- and FYVE domain-containing protein 4	1.07056e+07
Q6ZSR9	YJ005_HUMAN		Uncharacterized protein FLJ45252	3.40954e+06
Q6ZSZ5	ARHGI_HUMAN	ARHGEF18	Rho guanine nucleotide exchange factor 18	2.74821e+06
Q6ZT12	UBR3_HUMAN	UBR3	E3 ubiquitin-protein ligase UBR3	1.40541e+06
Q6ZT21	TMPPE_HUMAN	TMPPE	Transmembrane protein with metallophosphoesterase domain	1.8546e+06
Q6ZTR7	CBAR2_HUMAN	CIBAR2	CBY1-interacting BAR domain-containing protein 2	1.83258e+06
Q6ZUM4	RHG27_HUMAN	ARHGAP27	Rho GTPase-activating protein 27	3.44836e+06
Q6ZV73	FGD6_HUMAN	FGD6	FYVE, RhoGEF and PH domain-containing protein 6	629741
Q6ZVK8	NUD18_HUMAN	NUDT18	8-oxo-dGDP phosphatase NUDT18	2.29209e+06
Q6ZVM7	TM1L2_HUMAN	TOM1L2	TOM1-like protein 2	1.18394e+07
Q6ZVX7	FBX50_HUMAN	NCCRP1	F-box only protein 50	5.60954e+06
Q6ZW31	SYDE1_HUMAN	SYDE1	Rho GTPase-activating protein SYDE1	948693
Q6ZXV5	TMTC3_HUMAN	TMTC3	Protein O-mannosyl-transferase TMTC3	4.63612e+06
Q709C8	VP13C_HUMAN	VPS13C	Intermembrane lipid transfer protein VPS13C	5.76877e+06
Q70E73	RAPH1_HUMAN	RAPH1	Ras-associated and pleckstrin homology domains-containing protein 1	2.58041e+06
Q70IA6	MOB2_HUMAN	MOB2	MOB kinase activator 2	2.852e+06
Q70J99	UN13D_HUMAN	UNC13D	Protein unc-13 homolog D	3.80195e+06
Q70UQ0	IKIP_HUMAN	IKBIP	Inhibitor of nuclear factor kappa-B kinase-interacting protein	7.80245e+06
Q712K3	UB2R2_HUMAN	UBE2R2	Ubiquitin-conjugating enzyme E2 R2	5.08242e+06
Q719H9	KCTD1_HUMAN	KCTD1	BTB/POZ domain-containing protein KCTD1	1.9183e+06
Q71RC2	LARP4_HUMAN	LARP4	La-related protein 4	1.54897e+06
Q71U36	TBA1A_HUMAN	TUBA1A	Tubulin alpha-1A chain	6.90872e+07
Q71UM5	RS27L_HUMAN	RPS27L	Ribosomal protein eS27-like	2.60348e+07
Q75N03	HAKAI_HUMAN	CBLL1	E3 ubiquitin-protein ligase Hakai	1.13388e+07
Q75QN2	INT8_HUMAN	INTS8	Integrator complex subunit 8	649436
Q765P7	MTSS2_HUMAN	MTSS2	Protein MTSS 2	2.7949e+06
Q76M96	CCD80_HUMAN	CCDC80	Coiled-coil domain-containing protein 80	3.50462e+06
Q7KYR7	BT2A1_HUMAN	BTN2A1	Butyrophilin subfamily 2 member A1	1.05802e+06
Q7KZ85	SPT6H_HUMAN	SUPT6H	Transcription elongation factor SPT6	1.41654e+07
Q7KZF4	SND1_HUMAN	SND1	Staphylococcal nuclease domain-containing protein 1	6.03274e+07
Q7KZI7	MARK2_HUMAN	MARK2	Serine/threonine-protein kinase MARK2	7.69778e+06
Q7L014	DDX46_HUMAN	DDX46	Probable ATP-dependent RNA helicase DDX46	1.35025e+07
Q7L0Y3	TM10C_HUMAN	TRMT10C	tRNA methyltransferase 10 homolog C	5.05278e+06
Q7L1Q6	5MP2_HUMAN	BZW1	eIF5-mimic protein 2	1.96993e+07
Q7L2E3	DHX30_HUMAN	DHX30	ATP-dependent RNA helicase DHX30	7.70897e+06
Q7L2H7	EIF3M_HUMAN	EIF3M	Eukaryotic translation initiation factor 3 subunit M	3.55806e+07
Q7L2J0	MEPCE_HUMAN	MEPCE	7SK snRNA methylphosphate capping enzyme	2.44295e+06
Q7L311	ARMX2_HUMAN	ARMCX2	Armadillo repeat-containing X-linked protein 2	1.0353e+06
Q7L3T8	SYPM_HUMAN	PARS2	Probable proline--tRNA ligase, mitochondrial	1.20313e+06
Q7L4I2	RSRC2_HUMAN	RSRC2	Arginine/serine-rich coiled-coil protein 2	7.59062e+06
Q7L523	RRAGA_HUMAN	RRAGA	Ras-related GTP-binding protein A	9.11756e+06
Q7L576	CYFP1_HUMAN	CYFIP1	Cytoplasmic FMR1-interacting protein 1	4.41701e+07
Q7L591	DOK3_HUMAN	DOK3	Docking protein 3	634448
Q7L592	NDUF7_HUMAN	NDUFAF7	Protein arginine methyltransferase NDUFAF7, mitochondrial	3.31586e+06
Q7L5D6	GET4_HUMAN	GET4	Golgi to ER traffic protein 4 homolog	5.99804e+06
Q7L5N1	CSN6_HUMAN	COPS6	COP9 signalosome complex subunit 6	1.48071e+07
Q7L5N7	PCAT2_HUMAN	LPCAT2	Lysophosphatidylcholine acyltransferase 2	9.0298e+06
Q7L5Y1	ENOF1_HUMAN	ENOSF1	Mitochondrial enolase superfamily member 1	4.34315e+06
Q7L775	EPMIP_HUMAN	EPM2AIP1	EPM2A-interacting protein 1	2.04843e+06
Q7L7V1	DHX32_HUMAN	DHX32	Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX32	698547
Q7L8L6	FAKD5_HUMAN	FASTKD5	FAST kinase domain-containing protein 5, mitochondrial	2.65622e+06
Q7L9L4;Q9H8S9	MOB1A_HUMAN;MOB1B_HUMAN	MOB1A;MOB1B	MOB kinase activator 1B	2.61118e+07
Q7LBC6	KDM3B_HUMAN	KDM3B	Lysine-specific demethylase 3B	4.84528e+06
Q7LBR1	CHM1B_HUMAN	CHMP1B	Charged multivesicular body protein 1b	2.39723e+07
Q7LG56	RIR2B_HUMAN	RRM2B	Ribonucleoside-diphosphate reductase subunit M2 B	2.48442e+06
Q7LGA3	HS2ST_HUMAN	HS2ST1	Heparan sulfate 2-O-sulfotransferase 1	976444
Q7RTP6	MICA3_HUMAN	MICAL3	[F-actin]-monooxygenase MICAL3	884179
Q7RTV0	PHF5A_HUMAN	PHF5A	PHD finger-like domain-containing protein 5A	1.59611e+07
Q7Z2E3	APTX_HUMAN	APTX	Aprataxin	996939
Q7Z2K6	ERMP1_HUMAN	ERMP1	Endoplasmic reticulum metallopeptidase 1	2.61747e+07
Q7Z2T5	TRM1L_HUMAN	TRMT1L	TRMT1-like protein	1.2093e+06
Q7Z2W4	ZCCHV_HUMAN	ZC3HAV1	Zinc finger CCCH-type antiviral protein 1	2.98001e+07
Q7Z2W9	RM21_HUMAN	MRPL21	Large ribosomal subunit protein bL21m	8.96779e+06
Q7Z2Z2	EFL1_HUMAN	EFL1	Elongation factor-like GTPase 1	2.98756e+06
Q7Z309	PBIR2_HUMAN	PABIR2	PABIR family member 2	620760
Q7Z392	TPC11_HUMAN	TRAPPC11	Trafficking protein particle complex subunit 11	1.12217e+06
Q7Z3B4	NUP54_HUMAN	NUP54	Nucleoporin p54	6.46247e+06
Q7Z3C6	ATG9A_HUMAN	ATG9A	Autophagy-related protein 9A	1.76403e+06
Q7Z3D6	GLUCM_HUMAN	DGLUCY	D-glutamate cyclase, mitochondrial	2.97702e+06
Q7Z3J2	VP35L_HUMAN	VPS35L	VPS35 endosomal protein-sorting factor-like	3.30197e+07
Q7Z3K3	POGZ_HUMAN	POGZ	Pogo transposable element with ZNF domain	5.60122e+06
Q7Z3U7	MON2_HUMAN	MON2	Protein MON2 homolog	5.18203e+06
Q7Z406	MYH14_HUMAN	MYH14	Myosin-14	1.11249e+08
Q7Z417	NUFP2_HUMAN	NUFIP2	FMR1-interacting protein NUFIP2	3.95987e+06
Q7Z434	MAVS_HUMAN	MAVS	Mitochondrial antiviral-signaling protein	4.98697e+06
Q7Z460	CLAP1_HUMAN	CLASP1	CLIP-associating protein 1	5.35948e+06
Q7Z478	DHX29_HUMAN	DHX29	ATP-dependent RNA helicase DHX29	5.16609e+06
Q7Z4G4	TRM11_HUMAN	TRMT11	tRNA (guanine(10)-N2)-methyltransferase homolog	393858
Q7Z4H3	HDDC2_HUMAN	HDDC2	5'-deoxynucleotidase HDDC2	4.34979e+06
Q7Z4H7	HAUS6_HUMAN	HAUS6	HAUS augmin-like complex subunit 6	1.11761e+06
Q7Z4H8	PLGT3_HUMAN	POGLUT3	Protein O-glucosyltransferase 3	7.22741e+06
Q7Z4Q2	HEAT3_HUMAN	HEATR3	HEAT repeat-containing protein 3	2.14003e+06
Q7Z4S6	KI21A_HUMAN	KIF21A	Kinesin-like protein KIF21A	1.9165e+06
Q7Z4V5	HDGR2_HUMAN	HDGFL2	Hepatoma-derived growth factor-related protein 2	1.09383e+07
Q7Z4W1	DCXR_HUMAN	DCXR	L-xylulose reductase	2.8045e+07
Q7Z569	BRAP_HUMAN	BRAP	BRCA1-associated protein	1.64219e+06
Q7Z5G4	GOGA7_HUMAN	GOLGA7	Golgin subfamily A member 7	1.43579e+06
Q7Z5K2	WAPL_HUMAN	WAPL	Wings apart-like protein homolog	2.80022e+06
Q7Z5L7	PODN_HUMAN	PODN	Podocan	3.9589e+06
Q7Z5L9	I2BP2_HUMAN	IRF2BP2	Interferon regulatory factor 2-binding protein 2	7.67129e+06
Q7Z5N4	SDK1_HUMAN	SDK1	Protein sidekick-1	5.09819e+06
Q7Z5R6	AB1IP_HUMAN	APBB1IP	Amyloid beta A4 precursor protein-binding family B member 1-interacting protein	6.25454e+06
Q7Z6I6	RHG30_HUMAN	ARHGAP30	Rho GTPase-activating protein 30	4.00339e+06
Q7Z6I8	CE024_HUMAN	C5orf24	UPF0461 protein C5orf24	1.07192e+06
Q7Z6K5	ARPIN_HUMAN	ARPIN	Arpin	8.23736e+06
Q7Z6R9	AP2D_HUMAN	TFAP2D	Transcription factor AP-2-delta	4.60363e+06
Q7Z6Z7	HUWE1_HUMAN	HUWE1	E3 ubiquitin-protein ligase HUWE1	1.45984e+07
Q7Z739	YTHD3_HUMAN	YTHDF3	YTH domain-containing family protein 3	1.51292e+07
Q7Z7A1	CNTRL_HUMAN	CNTRL	Centriolin	358324
Q7Z7A3	CTU1_HUMAN	CTU1	Cytoplasmic tRNA 2-thiolation protein 1	578427
Q7Z7A4	PXK_HUMAN	PXK	PX domain-containing protein kinase-like protein	1.51077e+06
Q7Z7E8	UB2Q1_HUMAN	UBE2Q1	Ubiquitin-conjugating enzyme E2 Q1	2.95828e+06
Q7Z7F7	RM55_HUMAN	MRPL55	Large ribosomal subunit protein mL55	2.43424e+06
Q7Z7G0	TARSH_HUMAN	ABI3BP	Target of Nesh-SH3	5.79804e+06
Q7Z7H5	TMED4_HUMAN	TMED4	Transmembrane emp24 domain-containing protein 4	7.25143e+06
Q7Z7K6	CENPV_HUMAN	CENPV	Centromere protein V	1.72211e+06
Q7Z7M8	B3GN8_HUMAN	B3GNT8	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8	477669
Q7Z7M9	GALT5_HUMAN	GALNT5	Polypeptide N-acetylgalactosaminyltransferase 5	527096
Q86SF2	GALT7_HUMAN	GALNT7	N-acetylgalactosaminyltransferase 7	1.14166e+07
Q86SX6	GLRX5_HUMAN	GLRX5	Glutaredoxin-related protein 5, mitochondrial	4.26576e+06
Q86TB9	PATL1_HUMAN	PATL1	Protein PAT1 homolog 1	2.24124e+07
Q86TI0	TBCD1_HUMAN	TBC1D1	TBC1 domain family member 1	1.62651e+06
Q86TI2	DPP9_HUMAN	DPP9	Dipeptidyl peptidase 9	6.4199e+06
Q86TN4	TRPT1_HUMAN	TRPT1	tRNA 2'-phosphotransferase 1	5.7455e+06
Q86TP1	PRUN1_HUMAN	PRUNE1	Exopolyphosphatase PRUNE1	538881
Q86TS9	RM52_HUMAN	MRPL52	Large ribosomal subunit protein mL52	1.59063e+06
Q86TU7	SETD3_HUMAN	SETD3	Actin-histidine N-methyltransferase	3.60829e+06
Q86U28	ISCA2_HUMAN	ISCA2	Iron-sulfur cluster assembly 2 homolog, mitochondrial	2.58877e+06
Q86U38	NOP9_HUMAN	NOP9	Nucleolar protein 9	2.67623e+06
Q86U42	PABP2_HUMAN	PABPN1	Polyadenylate-binding protein 2	1.7099e+07
Q86U44	MTA70_HUMAN	METTL3	N6-adenosine-methyltransferase catalytic subunit	2.79396e+06
Q86U86	PB1_HUMAN	PBRM1	Protein polybromo-1	4.35487e+06
Q86U90	YRDC_HUMAN	YRDC	Threonylcarbamoyl-AMP synthase	407444
Q86UA1	PRP39_HUMAN	PRPF39	Pre-mRNA-processing factor 39	1.10099e+06
Q86UE4	LYRIC_HUMAN	MTDH	Protein LYRIC	2.18801e+07
Q86UE8	TLK2_HUMAN	TLK2	Serine/threonine-protein kinase tousled-like 2	465070
Q86UL3	GPAT4_HUMAN	GPAT4	Glycerol-3-phosphate acyltransferase 4	672530
Q86UP2	KTN1_HUMAN	KTN1	Kinectin	1.66062e+07
Q86UT6	NLRX1_HUMAN	NLRX1	NLR family member X1	2.78302e+06
Q86UU1	PHLB1_HUMAN	PHLDB1	Pleckstrin homology-like domain family B member 1	8.4058e+06
Q86UV5	UBP48_HUMAN	USP48	Ubiquitin carboxyl-terminal hydrolase 48	2.57368e+06
Q86UW9	DTX2_HUMAN	DTX2	Probable E3 ubiquitin-protein ligase DTX2	4.70207e+06
Q86UX2	ITIH5_HUMAN	ITIH5	Inter-alpha-trypsin inhibitor heavy chain H5	3.35424e+07
Q86UX7	URP2_HUMAN	FERMT3	Fermitin family homolog 3	6.94333e+07
Q86UY5	FA83A_HUMAN	FAM83A	Protein FAM83A	812380
Q86V21	AACS_HUMAN	AACS	Acetoacetyl-CoA synthetase	2.212e+07
Q86V48	LUZP1_HUMAN	LUZP1	Leucine zipper protein 1	1.87905e+06
Q86V81	THOC4_HUMAN	ALYREF	THO complex subunit 4	1.42672e+08
Q86V88	MGDP1_HUMAN	MDP1	Magnesium-dependent phosphatase 1	5.58489e+06
Q86VM9	ZCH18_HUMAN	ZC3H18	Zinc finger CCCH domain-containing protein 18	3.85582e+06
Q86VN1	VPS36_HUMAN	VPS36	Vacuolar protein-sorting-associated protein 36	7.66963e+06
Q86VP6	CAND1_HUMAN	CAND1	Cullin-associated NEDD8-dissociated protein 1	6.98161e+07
Q86VR2	RETR3_HUMAN	RETREG3	Reticulophagy regulator 3	3.07925e+06
Q86VR7	VS10L_HUMAN	VSIG10L	V-set and immunoglobulin domain-containing protein 10-like	725907
Q86VS8	HOOK3_HUMAN	HOOK3	Protein Hook homolog 3	5.07052e+06
Q86VW0	SESD1_HUMAN	SESTD1	SEC14 domain and spectrin repeat-containing protein 1	1.37099e+06
Q86VX2	COMD7_HUMAN	COMMD7	COMM domain-containing protein 7	1.78169e+06
Q86VZ1	P2RY8_HUMAN	P2RY8	P2Y purinoceptor 8	357325
Q86W42	THOC6_HUMAN	THOC6	THO complex subunit 6 homolog	5.24973e+06
Q86W50	MET16_HUMAN	METTL16	RNA N6-adenosine-methyltransferase METTL16	5.98381e+06
Q86W56	PARG_HUMAN	PARG	Poly(ADP-ribose) glycohydrolase	1.80467e+06
Q86W92	LIPB1_HUMAN	PPFIBP1	Liprin-beta-1	8.05682e+06
Q86WA6	BPHL_HUMAN	BPHL	Valacyclovir hydrolase	6.94567e+06
Q86WA8	LONP2_HUMAN	LONP2	Lon protease homolog 2, peroxisomal	267981
Q86WB0	ZC3C1_HUMAN	ZC3HC1	Zinc finger C3HC-type protein 1	4.96245e+06
Q86WQ0	NR2CA_HUMAN	NR2C2AP	Nuclear receptor 2C2-associated protein	4.61844e+06
Q86WR0	CCD25_HUMAN	CCDC25	Coiled-coil domain-containing protein 25	1.84861e+06
Q86WV1	SKAP1_HUMAN	SKAP1	Src kinase-associated phosphoprotein 1	2.39494e+06
Q86WV6	STING_HUMAN	STING1	Stimulator of interferon genes protein	1.76972e+07
Q86X10	RLGPB_HUMAN	RALGAPB	Ral GTPase-activating protein subunit beta	2.85926e+06
Q86X29	LSR_HUMAN	LSR	Lipolysis-stimulated lipoprotein receptor	4.59362e+06
Q86X55	CARM1_HUMAN	CARM1	Histone-arginine methyltransferase CARM1	1.24958e+07
Q86X76	NIT1_HUMAN	NIT1	Deaminated glutathione amidase	1.42463e+07
Q86X83	COMD2_HUMAN	COMMD2	COMM domain-containing protein 2	1.92288e+07
Q86XI2	CNDG2_HUMAN	NCAPG2	Condensin-2 complex subunit G2	418883
Q86XN7	PRSR1_HUMAN	PROSER1	Proline and serine-rich protein 1	436981
Q86XN8	MEX3D_HUMAN	MEX3D	RNA-binding protein MEX3D	6.55408e+06
Q86XP3	DDX42_HUMAN	DDX42	ATP-dependent RNA helicase DDX42	1.05168e+07
Q86XZ4	SPAS2_HUMAN	SPATS2	Spermatogenesis-associated serine-rich protein 2	2.52821e+06
Q86Y56	DAAF5_HUMAN	DNAAF5	Dynein axonemal assembly factor 5	1.20033e+06
Q86Y79	PTH_HUMAN	PTRH1	Peptidyl-tRNA hydrolase	876303
Q86Y82	STX12_HUMAN	STX12	Syntaxin-12	7.6254e+06
Q86YH6	DLP1_HUMAN	PDSS2	All trans-polyprenyl-diphosphate synthase PDSS2	6.38445e+06
Q86YP4	P66A_HUMAN	GATAD2A	Transcriptional repressor p66-alpha	7.66988e+06
Q86YS6	RAB43_HUMAN	RAB43	Ras-related protein Rab-43	3.29758e+06
Q86YS7	C2CD5_HUMAN	C2CD5	C2 domain-containing protein 5	6.33899e+06
Q86YT6	MIB1_HUMAN	MIB1	E3 ubiquitin-protein ligase MIB1	1.07306e+06
Q86YV0	RASL3_HUMAN	RASAL3	RAS protein activator like-3	1.08754e+07
Q86YV5	PRAG1_HUMAN	PRAG1	Inactive tyrosine-protein kinase PRAG1	1.41078e+06
Q86YV9	HPS6_HUMAN	HPS6	BLOC-2 complex member HPS6	1.21113e+06
Q8IU81	I2BP1_HUMAN	IRF2BP1	Interferon regulatory factor 2-binding protein 1	4.27992e+06
Q8IU85	KCC1D_HUMAN	CAMK1D	Calcium/calmodulin-dependent protein kinase type 1D	1.80018e+07
Q8IUD2	RB6I2_HUMAN	ERC1	ELKS/Rab6-interacting/CAST family member 1	5.91157e+06
Q8IUE6	H2A2B_HUMAN	H2AC21	Histone H2A type 2-B	5.58561e+08
Q8IUH3	RBM45_HUMAN	RBM45	RNA-binding protein 45	1.70091e+06
Q8IUI8	CRLF3_HUMAN	CRLF3	Cytokine receptor-like factor 3	3.86599e+06
Q8IUR0	TPPC5_HUMAN	TRAPPC5	Trafficking protein particle complex subunit 5	9.25058e+06
Q8IUR7	ARMC8_HUMAN	ARMC8	Armadillo repeat-containing protein 8	4.62879e+06
Q8IUX7	AEBP1_HUMAN	AEBP1	Adipocyte enhancer-binding protein 1	3.69767e+07
Q8IUZ5	AT2L2_HUMAN	PHYKPL	5-phosphohydroxy-L-lysine phospho-lyase	7.47217e+06
Q8IV04	TB10C_HUMAN	TBC1D10C	Carabin	4.52268e+06
Q8IV08	PLD3_HUMAN	PLD3	5'-3' exonuclease PLD3	2.05538e+07
Q8IV38	ANKY2_HUMAN	ANKMY2	Ankyrin repeat and MYND domain-containing protein 2	2.18095e+06
Q8IV63	VRK3_HUMAN	VRK3	Inactive serine/threonine-protein kinase VRK3	1.04686e+06
Q8IVD9	NUDC3_HUMAN	NUDCD3	NudC domain-containing protein 3	4.52082e+06
Q8IVF2	AHNK2_HUMAN	AHNAK2	Protein AHNAK2	1.92803e+07
Q8IVF7	FMNL3_HUMAN	FMNL3	Formin-like protein 3	7.54024e+06
Q8IVH4	MMAA_HUMAN	MMAA	Methylmalonic aciduria type A protein, mitochondrial	3.81485e+06
Q8IVH8	M4K3_HUMAN	MAP4K3	Mitogen-activated protein kinase kinase kinase kinase 3	1.29439e+06
Q8IVL5	P3H2_HUMAN	P3H2	Prolyl 3-hydroxylase 2	1.35431e+06
Q8IVL6	P3H3_HUMAN	P3H3	Prolyl 3-hydroxylase 3	7.35934e+06
Q8IVM0	CCD50_HUMAN	CCDC50	Coiled-coil domain-containing protein 50	1.04438e+07
Q8IW45	NNRD_HUMAN	NAXD	ATP-dependent (S)-NAD(P)H-hydrate dehydratase	6.87283e+06
Q8IWA0	WDR75_HUMAN	WDR75	WD repeat-containing protein 75	5.97014e+06
Q8IWA4	MFN1_HUMAN	MFN1	Mitofusin-1	2.8985e+06
Q8IWB1	IPRI_HUMAN	ITPRIP	Inositol 1,4,5-trisphosphate receptor-interacting protein	3.68589e+06
Q8IWB7	WDFY1_HUMAN	WDFY1	WD repeat and FYVE domain-containing protein 1	6.88827e+06
Q8IWB9	TEX2_HUMAN	TEX2	Testis-expressed protein 2	1.00931e+06
Q8IWE2	NXP20_HUMAN	FAM114A1	Protein NOXP20	1.18293e+07
Q8IWL1;Q8IWL2	SFPA2_HUMAN;SFTA1_HUMAN	SFTPA1;SFTPA2	Pulmonary surfactant-associated protein A2	1.09764e+07
Q8IWS0	PHF6_HUMAN	PHF6	PHD finger protein 6	4.90783e+06
Q8IWT0	ARCH_HUMAN	ZBTB8OS	Protein archease	701797
Q8IWT3	CUL9_HUMAN	CUL9	Cullin-9	1.10264e+06
Q8IWT6	LRC8A_HUMAN	LRRC8A	Volume-regulated anion channel subunit LRRC8A	1.05702e+06
Q8IWU6	SULF1_HUMAN	SULF1	Extracellular sulfatase Sulf-1	880961
Q8IWV7	UBR1_HUMAN	UBR1	E3 ubiquitin-protein ligase UBR1	1.59915e+06
Q8IWV8	UBR2_HUMAN	UBR2	E3 ubiquitin-protein ligase UBR2	2.13007e+06
Q8IWX8	CHERP_HUMAN	CHERP	Calcium homeostasis endoplasmic reticulum protein	1.11932e+07
Q8IWZ3	ANKH1_HUMAN	ANKHD1	Ankyrin repeat and KH domain-containing protein 1	3.18427e+06
Q8IWZ8	SUGP1_HUMAN	SUGP1	SURP and G-patch domain-containing protein 1	539639
