Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\DIArt_model\human\B20190315yix_KRUK_DIA_b1_13.mzML
P82094	TMF1_HUMAN	TMF1	TATA element modulatory factor	2.12727e+06
P82650	RT22_HUMAN	MRPS22	Small ribosomal subunit protein mS22	1.35165e+07
P82663	RT25_HUMAN	MRPS25	Small ribosomal subunit protein mS25	5.46974e+06
P82673	RT35_HUMAN	MRPS35	Small ribosomal subunit protein mS35	990252
P82675	RT05_HUMAN	MRPS5	Small ribosomal subunit protein uS5m	1.04662e+07
P82909	KGD4_HUMAN	MRPS36	Alpha-ketoglutarate dehydrogenase component 4	3.06281e+07
P82921	RT21_HUMAN	MRPS21	Small ribosomal subunit protein bS21m	3.4376e+06
P82930	RT34_HUMAN	MRPS34	Small ribosomal subunit protein mS34	1.11629e+07
P82932	RT06_HUMAN	MRPS6	Small ribosomal subunit protein bS6m	5.91695e+06
P82970	HMGN5_HUMAN	HMGN5	High mobility group nucleosome-binding domain-containing protein 5	1.19031e+07
P82979	SARNP_HUMAN	SARNP	SAP domain-containing ribonucleoprotein	8.0067e+07
P83436	COG7_HUMAN	COG7	Conserved oligomeric Golgi complex subunit 7	1.94652e+06
P83731	RL24_HUMAN	RPL24	Large ribosomal subunit protein eL24	2.839e+08
P83881	RL36A_HUMAN	RPL36A	Large ribosomal subunit protein eL42	2.62927e+07
P83916	CBX1_HUMAN	CBX1	Chromobox protein homolog 1	1.21941e+07
P84085	ARF5_HUMAN	ARF5	ADP-ribosylation factor 5	3.98712e+07
P84090	ERH_HUMAN	ERH	Enhancer of rudimentary homolog	4.1005e+07
P84095	RHOG_HUMAN	RHOG	Rho-related GTP-binding protein RhoG	1.26938e+07
P84098	RL19_HUMAN	RPL19	Large ribosomal subunit protein eL19	1.67757e+08
P84103	SRSF3_HUMAN	SRSF3	Serine/arginine-rich splicing factor 3	1.69144e+08
P84157	MXRA7_HUMAN	MXRA7	Matrix-remodeling-associated protein 7	1.85946e+07
P85037	FOXK1_HUMAN	FOXK1	Forkhead box protein K1	1.65861e+07
P98082	DAB2_HUMAN	DAB2	Disabled homolog 2	4.64715e+06
P98160	PGBM_HUMAN	HSPG2	Basement membrane-specific heparan sulfate proteoglycan core protein	1.91874e+08
P98171	RHG04_HUMAN	ARHGAP4	Rho GTPase-activating protein 4	1.65494e+06
P98175	RBM10_HUMAN	RBM10	RNA-binding protein 10	1.61817e+07
P98179	RBM3_HUMAN	RBM3	RNA-binding protein 3	1.33821e+08
P99999	CYC_HUMAN	CYCS	Cytochrome c	6.41257e+07
Q00013	EM55_HUMAN	MPP1	55 kDa erythrocyte membrane protein	3.30434e+06
Q00059	TFAM_HUMAN	TFAM	Transcription factor A, mitochondrial	3.69284e+07
Q00169	PIPNA_HUMAN	PITPNA	Phosphatidylinositol transfer protein alpha isoform	6.9032e+06
Q00325	S25A3_HUMAN	SLC25A3	Solute carrier family 25 member 3	3.21861e+07
Q00341	VIGLN_HUMAN	HDLBP	Vigilin	6.57261e+07
Q00403	TF2B_HUMAN	GTF2B	Transcription initiation factor IIB	1.93479e+06
Q00534	CDK6_HUMAN	CDK6	Cyclin-dependent kinase 6	1.16521e+07
Q00535	CDK5_HUMAN	CDK5	Cyclin-dependent kinase 5	1.93747e+06
Q00577	PURA_HUMAN	PURA	Transcriptional activator protein Pur-alpha	7.42769e+07
Q00587	BORG5_HUMAN	CDC42EP1	Cdc42 effector protein 1	6.72543e+06
Q00610	CLH1_HUMAN	CLTC	Clathrin heavy chain 1	1.1393e+08
Q00613	HSF1_HUMAN	HSF1	Heat shock factor protein 1	3.95566e+06
Q00653	NFKB2_HUMAN	NFKB2	Nuclear factor NF-kappa-B p100 subunit	1.87232e+06
Q00688	FKBP3_HUMAN	FKBP3	Peptidyl-prolyl cis-trans isomerase FKBP3	6.33755e+07
Q00765	REEP5_HUMAN	REEP5	Receptor expression-enhancing protein 5	9.46944e+07
Q00796	DHSO_HUMAN	SORD	Sorbitol dehydrogenase	2.75827e+07
Q00839	HNRPU_HUMAN	HNRNPU	Heterogeneous nuclear ribonucleoprotein U	2.45868e+08
Q01064	PDE1B_HUMAN	PDE1B	Dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B	1.20244e+06
Q01081	U2AF1_HUMAN	U2AF1	Splicing factor U2AF 35 kDa subunit	2.11532e+07
Q01082	SPTB2_HUMAN	SPTBN1	Spectrin beta chain, non-erythrocytic 1	1.92867e+08
Q01085	TIAR_HUMAN	TIAL1	Nucleolysin TIAR	2.20591e+07
Q01105	SET_HUMAN	SET	Protein SET	2.14615e+08
Q01130	SRSF2_HUMAN	SRSF2	Serine/arginine-rich splicing factor 2	2.60179e+08
Q01415	GALK2_HUMAN	GALK2	N-acetylgalactosamine kinase	4.18855e+06
Q01432	AMPD3_HUMAN	AMPD3	AMP deaminase 3	3.81082e+06
Q01433	AMPD2_HUMAN	AMPD2	AMP deaminase 2	1.87376e+07
Q01459	DIAC_HUMAN	CTBS	Di-N-acetylchitobiase	1.90747e+07
Q01469	FABP5_HUMAN	FABP5	Fatty acid-binding protein 5	3.13926e+08
Q01518	CAP1_HUMAN	CAP1	Adenylyl cyclase-associated protein 1	2.83447e+08
Q01523	DEF5_HUMAN	DEFA5	Defensin alpha 5	6.01282e+07
Q01524	DEF6_HUMAN	DEFA6	Defensin-6	5.41757e+07
Q01581	HMCS1_HUMAN	HMGCS1	Hydroxymethylglutaryl-CoA synthase, cytoplasmic	1.72992e+07
Q01658	NC2B_HUMAN	DR1	Protein Dr1	8.18949e+06
Q01780	EXOSX_HUMAN	EXOSC10	Exosome component 10	5.05152e+06
Q01804	OTUD4_HUMAN	OTUD4	OTU domain-containing protein 4	2.69293e+06
Q01813	PFKAP_HUMAN	PFKP	ATP-dependent 6-phosphofructokinase, platelet type	5.26355e+07
Q01844	EWS_HUMAN	EWSR1	RNA-binding protein EWS	1.11866e+08
Q01970	PLCB3_HUMAN	PLCB3	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3	1.36682e+07
Q01995	TAGL_HUMAN	TAGLN	Transgelin	7.30285e+09
Q02040	AK17A_HUMAN	AKAP17A	A-kinase anchor protein 17A	1.55817e+06
Q02083	NAAA_HUMAN	NAAA	N-acylethanolamine-hydrolyzing acid amidase	3.89952e+06
Q02108	GCYA1_HUMAN	GUCY1A1	Guanylate cyclase soluble subunit alpha-1	1.75868e+07
Q02127	PYRD_HUMAN	DHODH	Dihydroorotate dehydrogenase (quinone), mitochondrial	2.26871e+06
Q02153	GCYB1_HUMAN	GUCY1B1	Guanylate cyclase soluble subunit beta-1	3.99378e+06
Q02218	ODO1_HUMAN	OGDH	2-oxoglutarate dehydrogenase complex component E1	3.23292e+07
Q02241	KIF23_HUMAN	KIF23	Kinesin-like protein KIF23	3.3144e+06
Q02252	MMSA_HUMAN	ALDH6A1	Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial	2.60542e+07
Q02338	BDH_HUMAN	BDH1	D-beta-hydroxybutyrate dehydrogenase, mitochondrial	1.41931e+07
Q02447	SP3_HUMAN	SP3	Transcription factor Sp3	906777
Q02539	H11_HUMAN	H1-1	Histone H1.1	8.34132e+06
Q02543	RL18A_HUMAN	RPL18A	Large ribosomal subunit protein eL20	2.83543e+07
Q02750	MP2K1_HUMAN	MAP2K1	Dual specificity mitogen-activated protein kinase kinase 1	6.65843e+07
Q02790	FKBP4_HUMAN	FKBP4	Peptidyl-prolyl cis-trans isomerase FKBP4	9.62928e+07
Q02809	PLOD1_HUMAN	PLOD1	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	4.5034e+06
Q02817	MUC2_HUMAN	MUC2	Mucin-2	1.01333e+08
Q02818	NUCB1_HUMAN	NUCB1	Nucleobindin-1	8.68769e+07
Q02878	RL6_HUMAN	RPL6	Large ribosomal subunit protein eL6	2.75202e+08
Q02880	TOP2B_HUMAN	TOP2B	DNA topoisomerase 2-beta	2.0562e+08
Q02952	AKA12_HUMAN	AKAP12	A-kinase anchor protein 12	2.7463e+07
Q02978	M2OM_HUMAN	SLC25A11	Mitochondrial 2-oxoglutarate/malate carrier protein	4.60263e+06
Q03135	CAV1_HUMAN	CAV1	Caveolin-1	1.73223e+08
Q03154	ACY1_HUMAN	ACY1	Aminoacylase-1	1.71319e+07
Q03164	KMT2A_HUMAN	KMT2A	Histone-lysine N-methyltransferase 2A	2.1182e+06
Q03188	CENPC_HUMAN	CENPC	Centromere protein C	2.01574e+06
Q03252	LMNB2_HUMAN	LMNB2	Lamin-B2	7.8833e+07
Q03426	KIME_HUMAN	MVK	Mevalonate kinase	3.56244e+06
Q03518	TAP1_HUMAN	TAP1	Antigen peptide transporter 1	2.27096e+07
Q03701	CEBPZ_HUMAN	CEBPZ	CCAAT/enhancer-binding protein zeta	2.60581e+06
Q04323	UBXN1_HUMAN	UBXN1	UBX domain-containing protein 1	1.88802e+07
Q04446	GLGB_HUMAN	GBE1	1,4-alpha-glucan-branching enzyme	2.03342e+07
Q04609	FOLH1_HUMAN	FOLH1	Glutamate carboxypeptidase 2	4.03821e+06
Q04637	IF4G1_HUMAN	EIF4G1	Eukaryotic translation initiation factor 4 gamma 1	8.26309e+07
Q04726	TLE3_HUMAN	TLE3	Transducin-like enhancer protein 3	1.08887e+07
Q04760	LGUL_HUMAN	GLO1	Lactoylglutathione lyase	9.46653e+07
Q04837	SSBP_HUMAN	SSBP1	Single-stranded DNA-binding protein, mitochondrial	2.02718e+07
Q04917	1433F_HUMAN	YWHAH	14-3-3 protein eta	8.17693e+08
Q04941	PLP2_HUMAN	PLP2	Proteolipid protein 2	2.07583e+07
Q05048	CSTF1_HUMAN	CSTF1	Cleavage stimulation factor subunit 1	3.62586e+06
Q05193	DYN1_HUMAN	DNM1	Dynamin-1	4.17302e+07
Q05209	PTN12_HUMAN	PTPN12	Tyrosine-protein phosphatase non-receptor type 12	1.25137e+07
Q05315	LEG10_HUMAN	CLC	Galectin-10	1.43214e+08
Q05397	FAK1_HUMAN	PTK2	Focal adhesion kinase 1	9.55687e+06
Q05519	SRS11_HUMAN	SRSF11	Serine/arginine-rich splicing factor 11	2.81705e+07
Q05655	KPCD_HUMAN	PRKCD	Protein kinase C delta type	9.77724e+06
Q05682	CALD1_HUMAN	CALD1	Caldesmon	1.56739e+09
Q05707	COEA1_HUMAN	COL14A1	Collagen alpha-1(XIV) chain	1.27127e+08
Q06124	PTN11_HUMAN	PTPN11	Tyrosine-protein phosphatase non-receptor type 11	2.29756e+07
Q06141	REG3A_HUMAN	REG3A	Regenerating islet-derived protein 3-alpha	8.08692e+07
Q06203	PUR1_HUMAN	PPAT	Amidophosphoribosyltransferase	1.22827e+06
Q06210	GFPT1_HUMAN	GFPT1	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1	1.38067e+08
Q06265	EXOS9_HUMAN	EXOSC9	Exosome complex component RRP45	9.33966e+06
Q06323	PSME1_HUMAN	PSME1	Proteasome activator complex subunit 1	2.21142e+08
Q06546	GABPA_HUMAN	GABPA	GA-binding protein alpha chain	1.71839e+07
Q06587	RING1_HUMAN	RING1	E3 ubiquitin-protein ligase RING1	1.45996e+06
Q06787	FMR1_HUMAN	FMR1	Fragile X messenger ribonucleoprotein 1	2.19467e+07
Q06828	FMOD_HUMAN	FMOD	Fibromodulin	5.34066e+07
Q06830	PRDX1_HUMAN	PRDX1	Peroxiredoxin-1	8.17366e+08
Q07020	RL18_HUMAN	RPL18	Large ribosomal subunit protein eL18	1.67029e+08
Q07021	C1QBP_HUMAN	C1QBP	Complement component 1 Q subcomponent-binding protein, mitochondrial	6.77978e+07
Q07065	CKAP4_HUMAN	CKAP4	Cytoskeleton-associated protein 4	1.06782e+08
Q07075	AMPE_HUMAN	ENPEP	Glutamyl aminopeptidase	1.54447e+06
Q07157	ZO1_HUMAN	TJP1	Tight junction protein ZO-1	2.36482e+07
Q07507	DERM_HUMAN	DPT	Dermatopontin	1.09035e+08
Q07666	KHDR1_HUMAN	KHDRBS1	KH domain-containing, RNA-binding, signal transduction-associated protein 1	1.61915e+08
Q07812	BAX_HUMAN	BAX	Apoptosis regulator BAX	3.70672e+07
Q07817	B2CL1_HUMAN	BCL2L1	Bcl-2-like protein 1	3.13099e+06
Q07866	KLC1_HUMAN	KLC1	Kinesin light chain 1	1.27791e+07
Q07954	LRP1_HUMAN	LRP1	Prolow-density lipoprotein receptor-related protein 1	6.82628e+06
Q07955	SRSF1_HUMAN	SRSF1	Serine/arginine-rich splicing factor 1	9.68127e+07
Q07960	RHG01_HUMAN	ARHGAP1	Rho GTPase-activating protein 1	1.23202e+08
Q08170	SRSF4_HUMAN	SRSF4	Serine/arginine-rich splicing factor 4	2.90622e+07
Q08174	PCDH1_HUMAN	PCDH1	Protocadherin-1	3.94634e+06
Q08209	PP2BA_HUMAN	PPP3CA	Protein phosphatase 3 catalytic subunit alpha	6.34063e+07
Q08211	DHX9_HUMAN	DHX9	ATP-dependent RNA helicase A	9.89631e+07
Q08257	QOR_HUMAN	CRYZ	Quinone oxidoreductase	5.2794e+07
Q08378	GOGA3_HUMAN	GOLGA3	Golgin subfamily A member 3	8.66792e+06
Q08379	GOGA2_HUMAN	GOLGA2	Golgin subfamily A member 2	8.57392e+06
Q08380	LG3BP_HUMAN	LGALS3BP	Galectin-3-binding protein	1.77686e+08
Q08426	ECHP_HUMAN	EHHADH	Peroxisomal bifunctional enzyme	3.60741e+06
Q08623	HDHD1_HUMAN	PUDP	Pseudouridine-5'-phosphatase	8.50676e+06
Q08722	CD47_HUMAN	CD47	Leukocyte surface antigen CD47	1.06297e+07
Q08752	PPID_HUMAN	PPID	Peptidyl-prolyl cis-trans isomerase D	2.02372e+07
Q08945	SSRP1_HUMAN	SSRP1	FACT complex subunit SSRP1	3.58218e+07
Q08AF3	SLFN5_HUMAN	SLFN5	Schlafen family member 5	1.91987e+06
Q08AM6	VAC14_HUMAN	VAC14	Protein VAC14 homolog	7.30986e+06
Q08J23	NSUN2_HUMAN	NSUN2	RNA cytosine C(5)-methyltransferase NSUN2	9.28136e+06
Q09028	RBBP4_HUMAN	RBBP4	Histone-binding protein RBBP4	3.104e+07
Q09161	NCBP1_HUMAN	NCBP1	Nuclear cap-binding protein subunit 1	2.91919e+06
Q09472	EP300_HUMAN	EP300	Histone acetyltransferase p300	6.74206e+06
Q09666	AHNK_HUMAN	AHNAK	Neuroblast differentiation-associated protein AHNAK	1.74796e+08
Q0JRZ9	FCHO2_HUMAN	FCHO2	F-BAR domain only protein 2	2.38826e+06
Q0VD83	APOBR_HUMAN	APOBR	Apolipoprotein B receptor	1.50396e+07
Q0VDF9	HSP7E_HUMAN	HSPA14	Heat shock 70 kDa protein 14	446894
Q0VDG4	SCRN3_HUMAN	SCRN3	Secernin-3	7.41839e+06
Q0ZGT2	NEXN_HUMAN	NEXN	Nexilin	3.89881e+07
Q10471	GALT2_HUMAN	GALNT2	Polypeptide N-acetylgalactosaminyltransferase 2	5.34344e+06
Q10567	AP1B1_HUMAN	AP1B1	AP-1 complex subunit beta-1	4.25302e+07
Q10588	BST1_HUMAN	BST1	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2	9.6364e+06
Q10589	BST2_HUMAN	BST2	Bone marrow stromal antigen 2	2.96696e+07
Q10713	MPPA_HUMAN	PMPCA	Mitochondrial-processing peptidase subunit alpha	1.21117e+07
Q12765	SCRN1_HUMAN	SCRN1	Secernin-1	3.25129e+07
Q12788	TBL3_HUMAN	TBL3	Transducin beta-like protein 3	3.00101e+06
Q12789	TF3C1_HUMAN	GTF3C1	General transcription factor 3C polypeptide 1	1.7183e+07
Q12792	TWF1_HUMAN	TWF1	Twinfilin-1	4.717e+07
Q12797	ASPH_HUMAN	ASPH	Aspartyl/asparaginyl beta-hydroxylase	2.17616e+07
Q12800;Q9NZI7	TFCP2_HUMAN;UBIP1_HUMAN	TFCP2;UBP1	Alpha-globin transcription factor CP2	8.43916e+06
Q12802	AKP13_HUMAN	AKAP13	A-kinase anchor protein 13	2.95526e+06
Q12805	FBLN3_HUMAN	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1	3.07929e+06
Q12824	SNF5_HUMAN	SMARCB1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1	1.29258e+07
Q12830	BPTF_HUMAN	BPTF	Nucleosome-remodeling factor subunit BPTF	4.32279e+06
Q12841	FSTL1_HUMAN	FSTL1	Follistatin-related protein 1	2.25446e+06
Q12846	STX4_HUMAN	STX4	Syntaxin-4	1.15308e+07
Q12849	GRSF1_HUMAN	GRSF1	G-rich sequence factor 1	6.69118e+06
Q12857	NFIA_HUMAN	NFIA	Nuclear factor 1 A-type	6.81725e+06
Q12864	CAD17_HUMAN	CDH17	Cadherin-17	7.4393e+07
Q12872	SFSWA_HUMAN	SFSWAP	Splicing factor, suppressor of white-apricot homolog	4.86073e+06
Q12874	SF3A3_HUMAN	SF3A3	Splicing factor 3A subunit 3	6.01078e+07
Q12882	DPYD_HUMAN	DPYD	Dihydropyrimidine dehydrogenase [NADP(+)]	2.33142e+06
Q12888	TP53B_HUMAN	TP53BP1	TP53-binding protein 1	1.19867e+07
Q12899	TRI26_HUMAN	TRIM26	Tripartite motif-containing protein 26	4.49928e+06
Q12904	AIMP1_HUMAN	AIMP1	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1	2.02749e+07
Q12905	ILF2_HUMAN	ILF2	Interleukin enhancer-binding factor 2	1.27404e+08
Q12906	ILF3_HUMAN	ILF3	Interleukin enhancer-binding factor 3	2.15333e+08
Q12907	LMAN2_HUMAN	LMAN2	Vesicular integral-membrane protein VIP36	2.07546e+07
Q12929	EPS8_HUMAN	EPS8	Epidermal growth factor receptor kinase substrate 8	7.3529e+06
Q12931	TRAP1_HUMAN	TRAP1	Heat shock protein 75 kDa, mitochondrial	2.39578e+07
Q12955	ANK3_HUMAN	ANK3	Ankyrin-3	2.80935e+06
Q12959	DLG1_HUMAN	DLG1	Disks large homolog 1	1.07825e+07
Q12962	TAF10_HUMAN	TAF10	Transcription initiation factor TFIID subunit 10	3.7047e+06
Q12965	MYO1E_HUMAN	MYO1E	Unconventional myosin-Ie	1.75434e+07
Q12972	PP1R8_HUMAN	PPP1R8	Nuclear inhibitor of protein phosphatase 1	1.4684e+07
Q12981	SEC20_HUMAN	BNIP1	Vesicle transport protein SEC20	4.502e+06
Q12996	CSTF3_HUMAN	CSTF3	Cleavage stimulation factor subunit 3	2.48267e+07
Q13011	ECH1_HUMAN	ECH1	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial	5.51315e+07
Q13033	STRN3_HUMAN	STRN3	Striatin-3	1.82643e+07
Q13042	CDC16_HUMAN	CDC16	Cell division cycle protein 16 homolog	9.6737e+06
Q13043	STK4_HUMAN	STK4	Serine/threonine-protein kinase 4	1.17131e+07
Q13045	FLII_HUMAN	FLII	Protein flightless-1 homolog	5.41383e+07
Q13057	COASY_HUMAN	COASY	Bifunctional coenzyme A synthase	1.57431e+07
Q13085	ACACA_HUMAN	ACACA	Acetyl-CoA carboxylase 1	8.21532e+06
Q13098	CSN1_HUMAN	GPS1	COP9 signalosome complex subunit 1	7.63299e+06
Q13107	UBP4_HUMAN	USP4	Ubiquitin carboxyl-terminal hydrolase 4	906758
Q13112	CAF1B_HUMAN	CHAF1B	Chromatin assembly factor 1 subunit B	3.00176e+06
Q13123	RED_HUMAN	IK	Protein Red	1.58077e+07
Q13126	MTAP_HUMAN	MTAP	S-methyl-5'-thioadenosine phosphorylase	4.11793e+07
Q13131	AAPK1_HUMAN	PRKAA1	5'-AMP-activated protein kinase catalytic subunit alpha-1	1.94752e+07
Q13136	LIPA1_HUMAN	PPFIA1	Liprin-alpha-1	7.62256e+06
Q13148	TADBP_HUMAN	TARDBP	TAR DNA-binding protein 43	4.12179e+07
Q13151	ROA0_HUMAN	HNRNPA0	Heterogeneous nuclear ribonucleoprotein A0	1.90421e+08
Q13153	PAK1_HUMAN	PAK1	Serine/threonine-protein kinase PAK 1	1.01574e+07
Q13155	AIMP2_HUMAN	AIMP2	Aminoacyl tRNA synthase complex-interacting multifunctional protein 2	6.73691e+06
Q13162	PRDX4_HUMAN	PRDX4	Peroxiredoxin-4	4.05378e+07
Q13177	PAK2_HUMAN	PAK2	Serine/threonine-protein kinase PAK 2	3.25827e+07
Q13185	CBX3_HUMAN	CBX3	Chromobox protein homolog 3	7.85991e+07
Q13190	STX5_HUMAN	STX5	Syntaxin-5	7.73106e+06
Q13200	PSMD2_HUMAN	PSMD2	26S proteasome non-ATPase regulatory subunit 2	3.10387e+07
Q13206	DDX10_HUMAN	DDX10	Probable ATP-dependent RNA helicase DDX10	988814
Q13217	DNJC3_HUMAN	DNAJC3	DnaJ homolog subfamily C member 3	1.52863e+06
Q13228	SBP1_HUMAN	SELENBP1	Methanethiol oxidase	9.25678e+07
Q13232	NDK3_HUMAN	NME3	Nucleoside diphosphate kinase 3	1.54486e+06
Q13242	SRSF9_HUMAN	SRSF9	Serine/arginine-rich splicing factor 9	3.68585e+07
Q13243	SRSF5_HUMAN	SRSF5	Serine/arginine-rich splicing factor 5	4.22652e+07
Q13247	SRSF6_HUMAN	SRSF6	Serine/arginine-rich splicing factor 6	1.37558e+08
Q13263	TIF1B_HUMAN	TRIM28	Transcription intermediary factor 1-beta	1.01422e+08
Q13277	STX3_HUMAN	STX3	Syntaxin-3	1.73287e+06
Q13283	G3BP1_HUMAN	G3BP1	Ras GTPase-activating protein-binding protein 1	7.3349e+07
Q13287	NMI_HUMAN	NMI	N-myc-interactor	1.03509e+07
Q13310	PABP4_HUMAN	PABPC4	Polyadenylate-binding protein 4	1.47925e+08
Q13325	IFIT5_HUMAN	IFIT5	Interferon-induced protein with tetratricopeptide repeats 5	3.08359e+06
Q13347	EIF3I_HUMAN	EIF3I	Eukaryotic translation initiation factor 3 subunit I	8.09758e+07
Q13362	2A5G_HUMAN	PPP2R5C	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform	1.54395e+06
Q13363	CTBP1_HUMAN	CTBP1	C-terminal-binding protein 1	2.59216e+07
Q13393	PLD1_HUMAN	PLD1	Phospholipase D1	3.48249e+06
Q13404	UB2V1_HUMAN	UBE2V1	Ubiquitin-conjugating enzyme E2 variant 1	9.53708e+07
Q13405	RM49_HUMAN	MRPL49	Large ribosomal subunit protein mL49	8.31141e+06
Q13409	DC1I2_HUMAN	DYNC1I2	Cytoplasmic dynein 1 intermediate chain 2	6.30701e+07
Q13418	ILK_HUMAN	ILK	Integrin-linked protein kinase	1.03929e+08
Q13423	NNTM_HUMAN	NNT	NAD(P) transhydrogenase, mitochondrial	3.49137e+07
Q13425	SNTB2_HUMAN	SNTB2	Beta-2-syntrophin	2.7749e+07
Q13427	PPIG_HUMAN	PPIG	Peptidyl-prolyl cis-trans isomerase G	1.84937e+07
Q13428	TCOF_HUMAN	TCOF1	Treacle protein	2.4707e+07
Q13435	SF3B2_HUMAN	SF3B2	Splicing factor 3B subunit 2	5.7964e+07
Q13438	OS9_HUMAN	OS9	Protein OS-9	2.87029e+06
Q13439	GOGA4_HUMAN	GOLGA4	Golgin subfamily A member 4	5.99819e+06
Q13442	HAP28_HUMAN	PDAP1	28 kDa heat- and acid-stable phosphoprotein	6.31475e+07
Q13451	FKBP5_HUMAN	FKBP5	Peptidyl-prolyl cis-trans isomerase FKBP5	1.46955e+07
Q13459	MYO9B_HUMAN	MYO9B	Unconventional myosin-IXb	3.69029e+06
Q13464	ROCK1_HUMAN	ROCK1	Rho-associated protein kinase 1	1.44892e+07
Q13492	PICAL_HUMAN	PICALM	Phosphatidylinositol-binding clathrin assembly protein	2.05347e+07
Q13501	SQSTM_HUMAN	SQSTM1	Sequestosome-1	2.19246e+07
Q13505	MTX1_HUMAN	MTX1	Metaxin-1	2.91382e+06
Q13509	TBB3_HUMAN	TUBB3	Tubulin beta-3 chain	1.78647e+07
Q13510	ASAH1_HUMAN	ASAH1	Acid ceramidase	6.67986e+07
Q13523	PRP4B_HUMAN	PRPF4B	Serine/threonine-protein kinase PRP4 homolog	2.51926e+07
Q13526	PIN1_HUMAN	PIN1	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1	3.64024e+07
Q13541	4EBP1_HUMAN	EIF4EBP1	Eukaryotic translation initiation factor 4E-binding protein 1	2.85967e+07
Q13546	RIPK1_HUMAN	RIPK1	Receptor-interacting serine/threonine-protein kinase 1	6.0497e+06
Q13547	HDAC1_HUMAN	HDAC1	Histone deacetylase 1	3.58341e+07
Q13555	KCC2G_HUMAN	CAMK2G	Calcium/calmodulin-dependent protein kinase type II subunit gamma	1.22263e+07
Q13557	KCC2D_HUMAN	CAMK2D	Calcium/calmodulin-dependent protein kinase type II subunit delta	2.49807e+07
Q13561	DCTN2_HUMAN	DCTN2	Dynactin subunit 2	3.15048e+07
Q13564	ULA1_HUMAN	NAE1	NEDD8-activating enzyme E1 regulatory subunit	1.38341e+07
Q13573	SNW1_HUMAN	SNW1	SNW domain-containing protein 1	2.78543e+07
Q13576	IQGA2_HUMAN	IQGAP2	Ras GTPase-activating-like protein IQGAP2	1.70726e+07
Q13586	STIM1_HUMAN	STIM1	Stromal interaction molecule 1	1.13432e+07
Q13595	TRA2A_HUMAN	TRA2A	Transformer-2 protein homolog alpha	2.35686e+07
Q13596	SNX1_HUMAN	SNX1	Sorting nexin-1	2.95203e+07
Q13601	KRR1_HUMAN	KRR1	KRR1 small subunit processome component homolog	5.45499e+06
Q13610	PWP1_HUMAN	PWP1	Periodic tryptophan protein 1 homolog	2.93634e+06
Q13616	CUL1_HUMAN	CUL1	Cullin-1	3.1155e+06
Q13617	CUL2_HUMAN	CUL2	Cullin-2	2.90962e+06
Q13618	CUL3_HUMAN	CUL3	Cullin-3	3.94493e+06
Q13619	CUL4A_HUMAN	CUL4A	Cullin-4A	1.23719e+07
Q13620	CUL4B_HUMAN	CUL4B	Cullin-4B	1.0176e+07
Q13630	FCL_HUMAN	GFUS	GDP-L-fucose synthase	2.87843e+08
Q13636	RAB31_HUMAN	RAB31	Ras-related protein Rab-31	3.06741e+06
Q13642	FHL1_HUMAN	FHL1	Four and a half LIM domains protein 1	3.41792e+08
Q13683	ITA7_HUMAN	ITGA7	Integrin alpha-7	6.28719e+07
Q13685	AAMP_HUMAN	AAMP	Angio-associated migratory cell protein	5.38837e+06
Q13724	MOGS_HUMAN	MOGS	Mannosyl-oligosaccharide glucosidase	7.36168e+06
Q13740	CD166_HUMAN	ALCAM	CD166 antigen	1.0872e+07
Q13751	LAMB3_HUMAN	LAMB3	Laminin subunit beta-3	5.47728e+06
Q13753	LAMC2_HUMAN	LAMC2	Laminin subunit gamma-2	5.91955e+06
Q13813	SPTN1_HUMAN	SPTAN1	Spectrin alpha chain, non-erythrocytic 1	1.19923e+08
Q13823	NOG2_HUMAN	GNL2	Nucleolar GTP-binding protein 2	1.88889e+06
Q13838	DX39B_HUMAN	DDX39B	Spliceosome RNA helicase DDX39B	2.69811e+08
Q13867	BLMH_HUMAN	BLMH	Bleomycin hydrolase	5.6061e+06
Q13868	EXOS2_HUMAN	EXOSC2	Exosome complex component RRP4	5.73868e+06
Q13882	PTK6_HUMAN	PTK6	Protein-tyrosine kinase 6	8.28867e+06
Q13884	SNTB1_HUMAN	SNTB1	Beta-1-syntrophin	4.68114e+06
Q13885	TBB2A_HUMAN	TUBB2A	Tubulin beta-2A chain	6.59458e+07
Q13888;Q6P1K8	T2H2L_HUMAN;TF2H2_HUMAN	GTF2H2;GTF2H2C	General transcription factor IIH subunit 2	2.46234e+06
Q13895	BYST_HUMAN	BYSL	Bystin	7.17086e+06
Q13938	CAYP1_HUMAN	CAPS	Calcyphosin	2.35053e+07
